Software,RP Name,Software's Web Page,Software Documentation/Link,Example Software Use (link)
libsoup,"aces, faster",,,
libspatialindex,"aces, faster",,,
libspatialite,"aces, faster",,,
libssh,faster,,,
libszip,anvil,,,
libtasn1,"aces, faster",,,
libtiff,"aces, anvil, faster",https://gitlab.com/libtiff/libtiff,https://libtiff.gitlab.io/libtiff/,https://libtiff.gitlab.io/libtiff/tools.html
libtirpc,"aces, delta, expanse, faster",https://github.com/alisw/libtirpc,https://manpages.debian.org/jessie/libtirpc-dev/index.html,"https://manpages.debian.org/jessie/libtirpc-dev/rpc.3t.en.html , https://www.ibm.com/docs/en/i/7.5?topic=ustrdda-examples-developing-service-applications-based-ti-rpc-code "
libtool,"aces, faster, kyric",https://www.gnu.org/software/libtool/,https://www.gnu.org/software/libtool/manual/libtool.html,"https://www.gnu.org/software/libtool/manual/html_node/Using-libtool.html , https://www.gnu.org/software/libtool/manual/html_node/Libtool-test-suite.html , https://www.gnu.org/software/libtool/manual/html_node/Cheap-tricks.html "
libunistring,"aces, expanse, faster, kyric",https://www.gnu.org/software/libunistring/,https://www.gnu.org/software/libunistring/manual/libunistring.html,"https://www.gnu.org/software/libunistring/manual/libunistring.html#Using-the-library , https://github.com/gnosis/libunistring/blob/master/doc/unistr.texi "
libunwind,"aces, expanse, faster, ookami",https://www.nongnu.org/libunwind/,https://www.nongnu.org/libunwind/docs.html,"https://github.com/cslarsen/libunwind-examples , https://github.com/daniel-thompson/libunwind-examples , https://eli.thegreenplace.net/2015/programmatic-access-to-the-call-stack-in-c/ "
libv8,anvil,https://github.com/rubyjs/libv8,https://www.rubydoc.info/gems/libv8/5.9.211.38.0/Libv8,
libvorbis,"aces, faster",https://gitlab.xiph.org/xiph/vorbis,https://xiph.org/vorbis/doc/libvorbis/reference.html,"https://xiph.org/vorbis/doc/libvorbis/overview.html , https://gitlab.xiph.org/xiph/vorbis/-/tree/master/examples "
libvori,"aces, faster",https://brehm-research.de/libvori.php,https://github.com/cp2k/cp2k/blob/master/INSTALL.md#2u-libvori-voronoi-integration-for-electrostatic-properties-from-electron-density,
libwebp,"aces, faster",https://github.com/webmproject/libwebp/tree/main,https://github.com/webmproject/libwebp/blob/main/doc/api.md,https://github.com/webmproject/libwebp/tree/main/examples
libwpe,"aces, faster",,,
libx11,"anvil, delta",https://gitlab.freedesktop.org/xorg/lib/libx11,https://www.x.org/releases/current/doc/libX11/libX11/libX11.html,"https://tronche.com/gui/x/xlib/ , https://en.wikibooks.org/wiki/X_Window_Programming/Xlib "
libxau,delta,,,
libxc,"aces, expanse, faster, ookami",https://gitlab.com/libxc/libxc,https://libxc.gitlab.io/manual/libxc-5.1.x/,"https://gitlab.com/libxc/libxc/-/blob/devel/examples/basic.c , https://gitlab.com/libxc/libxc/-/blob/devel/examples/get_refs.c "
libxcb,delta,https://xcb.freedesktop.org/,https://xcb.freedesktop.org/PublicApi/,"https://xcb.freedesktop.org/tutorial/ , https://xcb.freedesktop.org/XcbNotes/  , https://www.x.org/releases/X11R7.7/doc/libxcb/tutorial/index.html "
libxdmcp,delta,,,
libxml2,"aces, anvil, faster, kyric",https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxml2/devhelp/general.html,"https://gitlab.gnome.org/GNOME/libxml2/-/wikis/Tutorial , https://gitlab.gnome.org/GNOME/libxml2/-/tree/master/example "
libxscrnsaver,anvil,,,
libxslt,"aces, anvil, faster",https://gitlab.gnome.org/GNOME/libxslt/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxslt/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxslt/tutorial/libxslttutorial.html , https://gnome.pages.gitlab.gnome.org/libxslt/tutorial2/libxslt_pipes.html "
libxsmm,"aces, faster",https://github.com/libxsmm/libxsmm,https://libxsmm.readthedocs.io/en/latest/,"https://libxsmm.readthedocs.io/en/latest/libxsmm_samples/ , https://github.com/libxsmm/libxsmm/tree/main/samples/magazine "
libxt,delta,,,
libyaml,"aces, faster",https://github.com/yaml/libyaml,https://pyyaml.org/wiki/LibYAML,"https://github.com/yaml/libyaml/tree/master/tests , https://github.com/yaml/libyaml/tree/master/examples "
libzip,"aces, faster",,,
lifelines,aces,https://github.com/CamDavidsonPilon/lifelines,https://lifelines.readthedocs.io/en/stable/,"https://lifelines.readthedocs.io/en/stable/ , https://lifelines.readthedocs.io/en/stable/Examples.html , https://github.com/CamDavidsonPilon/lifelines/tree/master/examples "
liftoff,anvil,,,
liftofftools,anvil,,,
likwid,"faster, kyric, ookami",https://hpc.fau.de/research/tools/likwid/,https://github.com/RRZE-HPC/likwid/wiki,"https://github.com/RRZE-HPC/likwid/wiki/TutorialStart , https://www.youtube.com/playlist?list=PLxVedhmuwLq2CqJpAABDMbZG8Whi7pKsk , https://github.com/RRZE-HPC/likwid#usage-examples , https://github.com/RRZE-HPC/likwid/tree/master/examples"
lima,anvil,,,
linaro,ookami,https://www.linaroforge.com/,https://docs.linaroforge.com/23.1.2/html/forge/index.html,"https://docs.linaroforge.com/23.1.2/html/forge/worked_examples_appendix/mmult/index.html , https://www.stonybrook.edu/commcms/ookami/support/faq/_docs/Linaro-Ookami.pdf "
links,anvil,,,
lis,faster,,,
littlecms,"aces, faster",https://www.littlecms.com/,https://www.littlecms.com/LittleCMS2.16%20API.pdf,"https://www.littlecms.com/LittleCMS2.16%20tutorial.pdf , https://www.littlecms.com/LittleCMS2.16%20Plugin%20API.pdf "
lldb,ookami,https://lldb.llvm.org/,https://lldb.llvm.org/man/lldb.html,"https://lldb.llvm.org/use/tutorial.html , https://lldb.llvm.org/python_api.html "
llvm,"aces, darwin, delta, faster, ookami",https://llvm.org/,https://llvm.org/docs/Reference.html,"https://llvm.org/docs/GettingStartedTutorials.html , https://llvm.org/docs/UserGuides.html "
lmdb,"aces, faster",http://www.lmdb.tech/doc/,http://www.lmdb.tech/doc/group__mdb.html,http://www.lmdb.tech/doc/starting.html
lmod,"aces, bridges-2, delta, faster, stampede3",https://lmod.readthedocs.io/en/latest/,https://lmod.readthedocs.io/en/latest/010_user.html,"https://lmod.readthedocs.io/en/latest/015_writing_modules.html , https://lmod.readthedocs.io/en/latest/100_modulefile_examples.html , https://lmod.readthedocs.io/en/latest/020_advanced.html "
lofreq,anvil,,,
longphase,anvil,,,
longqc,anvil,,,
loopy,faster,,,
lowcharts,bridges-2,https://github.com/juan-leon/lowcharts,https://docs.rs/lowcharts/latest/lowcharts/all.html,https://docs.rs/lowcharts/latest/lowcharts/#getting-started
lra,anvil,,,
ltr_finder,anvil,,,
ltrpred,anvil,,,
ltrpred(ict),anvil,,,
lua,"aces, expanse, faster, ookami",https://www.lua.org/,https://www.lua.org/manual/5.4/,"https://www.lua.org/pil/contents.html , https://www.dcc.ufrj.br/~fabiom/lua/ , http://lua-users.org/wiki/SampleCode , http://lua-users.org/wiki/ "
lumpy,faster,,,
lumpy-sv,anvil,,,
lvm2,kyric,https://sourceware.org/lvm2/,https://sourceware.org/git/?p=lvm2.git;a=tree;f=man;hb=HEAD,"https://tldp.org/HOWTO/LVM-HOWTO/index.html , https://sourceware.org/lvm2/wiki/UserDocumentation , https://www.howtoforge.com/linux_lvm"
lxml,"aces, faster",https://lxml.de/,https://lxml.de/apidoc/lxml.html,"https://lxml.de/tutorial.html , https://web.archive.org/web/20110108100213/https://infohost.nmt.edu/tcc/help/pubs/pylxml/ "
lyveset,anvil,,,
lz4,"aces, faster, ookami",https://lz4.org/,https://github.com/lz4/lz4/tree/dev/doc,"https://htmlpreview.github.io/?https://github.com/lz4/lz4/blob/master/doc/lz4_manual.html , https://github.com/lz4/lz4/blob/dev/examples/streaming_api_basics.md , https://github.com/lz4/lz4/blob/dev/examples/blockStreaming_doubleBuffer.md , https://github.com/lz4/lz4/tree/dev/examples "
lzip,darwin,,,
lzma,delta,,,
lzo,faster,,,
m4,"aces, faster, kyric",https://www.gnu.org/software/m4/m4.html,https://www.gnu.org/software/m4/manual/m4.html,"https://mbreen.com/m4.html , https://www3.physnet.uni-hamburg.de/physnet/Tru64-Unix/HTML/APS32DTE/M4XXXXXX.HTM , https://www.linuxtoday.com/blog/macro-m4-guide/ ,  https://www.youtube.com/watch?v=yrurIUEGo1c , https://www.youtube.com/watch?v=ULZxHSPWn98"
macrel,anvil,,,
macs2,anvil,,,
macs3,anvil,,,
maeparser,"aces, faster",https://github.com/schrodinger/maeparser,https://github.com/schrodinger/maeparser/blob/master/MaeParser.cpp,https://github.com/schrodinger/maeparser/blob/master/test/UsageDemo.cpp
mafft,"aces, anvil, expanse, faster",,,
mageck,"anvil, faster",,,
magicblast,anvil,,,
magics,aces,https://confluence.ecmwf.int/display/MAGP/,https://confluence.ecmwf.int/display/MAGP/Reference+guide,https://confluence.ecmwf.int/display/MAGP/Magics+Tutorial
magma,"aces, delta, expanse, faster",http://icl.cs.utk.edu/magma/index.html,https://icl.utk.edu/projectsfiles/magma/doxygen/,https://icl.utk.edu/projectsfiles/magma/doxygen/_m_a_g_m_a-sparse.html#sparseexample
mainmast,faster,,,
make,"aces, faster, kyric",https://www.gnu.org/software/make/,https://www.gnu.org/software/make/manual/make.html,"https://www.gnu.org/software/make/manual/make.html#Rule-Example , https://makefiletutorial.com/ , https://www.cs.swarthmore.edu/~newhall/unixhelp/howto_makefiles.html"
makedepend,"aces, faster",,,
makeinfo,"aces, faster",https://www.gnu.org/software/texinfo/,https://linux.die.net/man/1/makeinfo,https://www.gnu.org/software/texinfo/manual/texinfo/texinfo.html#Generic-Translator-texi2any
maker,anvil,,,
mako,"aces, faster",https://www.makotemplates.org/,https://docs.makotemplates.org/en/latest/,https://docs.makotemplates.org/en/latest/usage.html
mamba,"aces, faster",https://github.com/mamba-org/mamba,https://mamba.readthedocs.io/en/latest/,"https://mamba.readthedocs.io/en/latest/user_guide/concepts.html , https://blog.hpc.qmul.ac.uk/mamba/ , https://prefix.dev/docs/mamba/overview "
manta,anvil,,,
map,stampede3,,,
mapcaller,anvil,,,
mapdamage2,anvil,,,
marginpolish,anvil,,,
mariadb,faster,,,
mash,anvil,,,
mashmap,anvil,,,
mashtree,anvil,,,
masurca,"anvil, faster",,,
mathematica,"darwin, faster",https://www.wolfram.com/mathematica/,https://reference.wolfram.com/workbench/index.jsp,"https://reference.wolfram.com/workbench/topic/com.wolfram.eclipse.help/html/tasks/documentationpaclets/starting.html , https://www.wolfram.com/wolfram-u/courses/wolfram-language/hands-on-start-to-mathematica-wl005/ "
matio,aces,https://github.com/tbeu/matio,https://github.com/tbeu/matio/blob/master/documentation/matvar_structure.texi,"https://github.com/tbeu/matio/blob/master/documentation/quick.texi , https://github.com/NJannasch/matio-examples"
matlab,"aces, anvil, bridges-2, darwin, expanse, faster, jetstream, ookami",https://www.mathworks.com/products/matlab.html,https://www.mathworks.com/help/matlab/,"https://matlabacademy.mathworks.com/ , https://www.mathworks.com/help/matlab/getting-started-with-matlab.html , https://www.mathworks.com/matlabcentral/ "
matlab_unlicensed,delta,,,
matlab-engine,faster,,,
matplotlib,"aces, faster",https://matplotlib.org/,https://matplotlib.org/stable/users/index.html,"https://matplotlib.org/stable/tutorials/index.html , https://realpython.com/python-matplotlib-guide/ , https://www.datacamp.com/tutorial/matplotlib-tutorial-python "
maturin,aces,,,
mauve,"anvil, faster",,,
maven,"aces, faster",https://maven.apache.org/,https://maven.apache.org/guides/index.html,"https://maven.apache.org/guides/getting-started/maven-in-five-minutes.html , https://maven.apache.org/guides/getting-started/index.html , https://www.baeldung.com/maven , https://www.tutorialspoint.com/maven/index.htm"
maxbin2,anvil,,,
maxquant,anvil,,,
mbuffer,faster,,,
mc,bridges-2,,,
mccortex,faster,,,
mcl,"anvil, faster",,,
mcoutbryk,faster,,,
mcr,darwin,https://www.mathworks.com/products/compiler/matlab-runtime.html,https://www.mathworks.com/help/compiler/matlab-runtime.html,"https://www.mathworks.com/help/compiler/getting-started-with-matlab-compiler.html , https://www.mathworks.com/help/compiler/examples.html"
mcscanx,anvil,,,
mdspan,stampede3,,,
mdtest,delta,,,
medaka,"anvil, faster",,,
meep,anvil,https://meep.readthedocs.io/en/stable/,https://meep.readthedocs.io/en/stable/Python_User_Interface/,"https://meep.readthedocs.io/en/stable/Introduction/ , https://meep.readthedocs.io/en/stable/Python_Tutorials/Basics/ "
megadepth,anvil,,,
megahit,"anvil, faster",,,
megan,anvil,,,
meme,anvil,,,
meme-suite,bridges-2,https://meme-suite.org/meme/,https://meme-suite.org/meme/doc/overview.html,"https://meme-suite.org/meme/doc/meme.html#sp_search , https://meme-suite.org/meme/doc/ame-tutorial.html?man_type=web"
memes,anvil,https://github.com/snystrom/memes,https://snystrom.github.io/memes-manual/reference/index.html,https://snystrom.github.io/memes-manual/index.html#quick-examples 
memoryviewer,aces,https://memverge.com/memoryviewer/,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf
mentorgraphics,bridges-2,,,
meraculous,anvil,,,
mercurial,"aces, expanse, ookami",https://www.mercurial-scm.org/,https://book.mercurial-scm.org/read/,https://wiki.mercurial-scm.org/Tutorial
merqury,anvil,,,
meryl,anvil,,,
mesa,"aces, faster",https://www.mesa3d.org/,https://docs.mesa3d.org/,https://gitlab.freedesktop.org/mesa/demos
mesa-glu,anvil,,,
meson,"aces, darwin, expanse, faster",https://mesonbuild.com/,https://mesonbuild.com/Manual.html,"https://mesonbuild.com/SimpleStart.html , https://mesonbuild.com/Quick-guide.html , https://mesonbuild.com/Tutorial.html , https://mesonbuild.com/Meson-sample.html "
meson-python,"aces, faster",,,
metabat,anvil,,,
metachip,anvil,,,
metaphlan,anvil,,,
metaseq,anvil,,,
methyldackel,anvil,,,
methylpy,bridges-2,https://pypi.org/project/methylpy/,https://github.com/yupenghe/methylpy/tree/methylpy/docs,https://github.com/yupenghe/methylpy/blob/methylpy/tutorial/tutorial.md
metilene,anvil,,,
metis,"aces, delta, expanse, faster, stampede3",https://github.com/KarypisLab/METIS,https://github.com/KarypisLab/METIS/blob/master/manual/manual.pdf,"https://www.niu.edu/crcd/current-users/getting-started/build-run-example.shtml , https://github.com/KarypisLab/METIS/blob/master/test/mtest.c "
mfem,"aces, faster",,,
mhm2,anvil,,,
microbedmm,anvil,,,
minialign,anvil,,,
miniasm,anvil,,,
miniconda3,"aces, faster",https://docs.anaconda.com/free/miniconda/,https://docs.conda.io/projects/conda/en/latest/dev-guide/index.html,"https://conda.io/projects/conda/en/latest/user-guide/getting-started.html , https://conda.io/projects/conda/en/latest/user-guide/tasks/manage-environments.html "
minimap2,"anvil, faster",,,
minipolish,anvil,,,
miniprot,anvil,,,
minizip,"aces, faster",,,
mirdeep2,"anvil, expanse",,,
mirtop,anvil,,,
mitofinder,anvil,,,
mkl,"bridges-2, kyric, stampede3",https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.54486a,https://www.intel.com/content/www/us/en/docs/onemkl/developer-guide-linux/2024-1/overview.html,"https://www.intel.com/content/www/us/en/docs/onemkl/tutorial-c/2021-4/overview-001.html#GUID-61CC7FFD-4B0B-44CB-B76A-F8D875E935D2 , https://www.intel.com/content/www/us/en/docs/onemkl/get-started-guide/2024-0/overview.html , https://portal.nacad.ufrj.br/online/intel/mkl/common/tutorials/mkl_mmx_f/GUID-CEB793BF-BEFC-42F3-9D4D-F1207725B2DC.htm "
mkl-service,faster,https://pypi.org/project/mkl-service/,https://github.com/IntelPython/mkl-service,https://github.com/IntelPython/mkl-service/blob/master/examples/example.py
mkl32,kyric,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.4prieo,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.4prieo,
mlflow,bridges-2,,,
mlst,anvil,,,
mmseqs2,anvil,,,
mob_suite,anvil,,,
mob-suite,anvil,,,
modbam2bed,anvil,,,
modeltest-ng,anvil,,,
modtree,anvil,https://github.com/falconindy/modtree,https://github.com/falconindy/modtree/blob/master/doc/modtree.1,https://www.rcac.purdue.edu/knowledge/anvil/software/compile/nvidiagpu
module-git,ookami,,,
module-info,ookami,,,
moe,faster,,,
mold,"aces, faster",,,
molden,"expanse, faster",,,
molmod,faster,,,
momi,anvil,,,
monai,aces,https://monai.io/,https://docs.monai.io/en/stable/,"https://github.com/Project-MONAI/tutorials , https://monai.io/started.html , https://github.com/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb "
monitor,anvil,,,
moose,faster,,,
mothur,"anvil, faster",,,
motif,aces,https://motif.ics.com/motif,https://motif.ics.com/sites/default/files/ReferenceManual.pdf,"https://motif.ics.com/sites/default/files/BeginnerGuide.pdf , https://motif.ics.com/sites/default/files/UserGuide.pdf , https://motif.ics.com/sites/default/files/TutorialGuide.pdf "
motus,anvil,,,
mpc,"aces, anvil, faster, kyric",https://www.multiprecision.org/,https://www.multiprecision.org/downloads/mpc-1.3.1.pdf,"https://doc.sagemath.org/html/en/reference/rings_numerical/sage/rings/complex_mpc.html , https://tspiteri.gitlab.io/gmp-mpfr-sys/dev/gmp_mpfr_sys/C/MPC/constant.GNU_MPC_Basics.html "
mpfr,"aces, anvil, darwin, expanse, faster, kyric, ookami",https://www.mpfr.org/,https://www.mpfr.org/mpfr-current/mpfr.html,"https://www.mpfr.org/mpfr-current/mpfr.html#MPFR-Basics , https://www.mpfr.org/sample.html , https://www.mpfr.org/algorithms.pdf "
mpi,kyric,https://www.mpi-forum.org/,https://www.mpi-forum.org/docs/,
mpi4py,"aces, faster, ookami",https://pypi.org/project/mpi4py/,https://mpi4py.readthedocs.io/en/stable/,
mpich,"kyric, ookami",https://www.mpich.org/,https://www.mpich.org/static/docs/latest/,
mpip,expanse,,,
mpl,stampede3,https://www.mpi-forum.org/,https://www.mpi-forum.org/docs/mpi-4.1/mpi41-report.pdf,"https://mpitutorial.com/tutorials/ , https://www.codingame.com/playgrounds/349/introduction-to-mpi/introduction-to-distributed-computing "
mrbayes,"anvil, expanse",,,
mrnet,delta,,,
mujoco,faster,,,
mujoco-py,faster,,,
multichoose,faster,,,
multiqc,"anvil, faster",,,
mummer,faster,https://mummer4.github.io/,https://mummer4.github.io/manual/manual.html,"https://mummer4.github.io/tutorial/tutorial.html , https://github.com/mummer4/mummer/tree/master/examples "
mummer4,anvil,,,
mumps,"aces, expanse, faster",https://mumps-solver.org/index.php,https://mumps-solver.org/doc/userguide_5.6.2.pdf,"https://mumps-solver.org/index.php?page=faq , https://people.math.sc.edu/Burkardt/examples/mumps/dsimpletest.F"
muparser,delta,,,
muscle,anvil,,,
musl,aces,,,
must,bridges-2,,,
mutmap,anvil,,,
mvapich,"delta, stampede3",https://mvapich.cse.ohio-state.edu/overview/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-userguide.html,https://mvapich.cse.ohio-state.edu/static/media/mvapich/quick.html
mvapich-3.0rc_s11,delta,,,
mvapich2,"anvil, bridges-2, expanse, kyric, ookami",,,
mvapich2-gdr,aces,,,
mykrobe,anvil,,,
n50,anvil,,,
namd,"aces, anvil, bridges-2, darwin, delta, expanse, faster, ookami, stampede3",https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/current/ug/,"https://www.ks.uiuc.edu/Training/Tutorials/namd/namd-tutorial-win-html/index.html , https://www.ks.uiuc.edu/Training/Tutorials/science/forces/forces-tutorial-html/ "
namd-multicore-cuda,aces,,,
namd-netlrts-smp-cuda,aces,,,
namd-verbs-smp-cuda,aces,,,
namd3,delta,https://www.ks.uiuc.edu/Research/namd/alpha/3.0alpha/,https://www.ks.uiuc.edu/Research/namd/3.0/ug/,
nanofilt,"anvil, faster",,,
nanolyse,anvil,,,
nanoplot,anvil,,,
nanopolish,anvil,https://github.com/jts/nanopolish,https://nanopolish.readthedocs.io/en/latest/manual.html,"https://nanopolish.readthedocs.io/en/latest/quickstart_consensus.html , https://nanopolish.readthedocs.io/en/latest/quickstart_eventalign.html , https://nanopolish.readthedocs.io/en/latest/quickstart_call_methylation.html , https://nanopolish.readthedocs.io/en/latest/quickstart_polya.html "
nasm,"aces, faster",https://www.nasm.us/,https://www.nasm.us/doc/,"https://cs.lmu.edu/~ray/notes/nasmtutorial/ , https://redirect.cs.umbc.edu/portal/help/nasm/sample.shtml , https://cratecode.com/info/nasm-tutorial "
nbo,expanse,,,
ncbi-amrfinderplus,anvil,,,
ncbi-datasets,anvil,,,
ncbi-genome-download,anvil,,,
ncbi-table2asn,anvil,,,
ncbi-vdb,"aces, faster",https://www.ncbi.nlm.nih.gov/sra,https://github.com/ncbi/sra-tools/wiki,
nccl,"aces, anvil, delta, expanse, faster",https://developer.nvidia.com/nccl,https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/index.html,"https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/examples.html , https://docs.nvidia.com/deeplearning/nccl/user-guide/docs/usage.html , https://github.com/NVIDIA/nccl/blob/master/ext-tuner/example/nccl/tuner.h "
nccl-tests,faster,https://github.com/NVIDIA/nccl-tests,https://github.com/NVIDIA/nccl-tests/blob/master/doc/PERFORMANCE.md,https://github.com/NVIDIA/nccl-tests#usage
ncdu,"bridges-2, ookami",https://dev.yorhel.nl/ncdu,https://dev.yorhel.nl/ncdu/man,"https://ioflood.com/blog/ncdu-linux-command/ , https://www.networkworld.com/article/970542/looking-at-linux-disk-usage-with-the-ncdu-command.html , https://opensource.com/article/21/8/ncdu-check-free-disk-space-linux "
ncftp,delta,,,
ncl,"aces, anvil, expanse",https://www.ncl.ucar.edu/,https://www.ncl.ucar.edu/Document/,"https://www.ncl.ucar.edu/Document/Manuals/NCL_User_Guide/ , https://www.ncl.ucar.edu/Training/Tutorials/ , https://www.ncl.ucar.edu/Applications/ , https://www.ncl.ucar.edu/Training/Webinars/ "
nco,"aces, anvil, expanse, faster, stampede3",https://nco.sourceforge.net/,https://nco.sourceforge.net/nco.html,"https://nco.sourceforge.net/nco.html#Quick-Start , https://nco.sourceforge.net/nco.html#Examples-ncap2 , https://nco.sourceforge.net/nco.html#CCSM-Example , https://nco.sourceforge.net/nco.html#How-to-Use-This-guide "
ncurses,"aces, delta, expanse, faster, kyric, ookami",https://invisible-island.net/ncurses/announce.html,https://invisible-island.net/ncurses/announce.html#h3-documentation,"https://invisible-island.net/ncurses/ncurses-examples.html , https://tldp.org/HOWTO/NCURSES-Programming-HOWTO/  "
ncview,"anvil, bridges-2, expanse, stampede3",https://cirrus.ucsd.edu/ncview/,https://linux.die.net/man/1/ncview,"https://cirrus.ucsd.edu/~pierce/software/ncview/quick_intro.html , https://docs.pace.gatech.edu/interactiveJobs/ncview/ "
ndiff,delta,,,
netcdf,"aces, darwin, delta, faster, ookami, stampede3",https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/nug/current/,https://docs.unidata.ucar.edu/nug/current/netcdf_introduction.html 
netcdf-c,"anvil, delta, expanse",https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/netcdf-c/current/,"https://docs.unidata.ucar.edu/netcdf-c/current/tutorial_8dox.html , https://docs.unidata.ucar.edu/netcdf-c/current/examples.html"
netcdf-c++4,"aces, faster",https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/netcdf-cxx/current/,"https://docs.unidata.ucar.edu/netcdf-cxx/current/example1_8cpp_source.html , https://docs.unidata.ucar.edu/netcdf-cxx/current/simple__xy__rd_8cpp_source.html , https://docs.unidata.ucar.edu/netcdf-cxx/current/sfc__pres__temp__wr_8cpp_source.html "
netcdf-combined,faster,,,
netcdf-cxx,expanse,,,
netcdf-cxx4,"anvil, darwin, expanse",https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/netcdf-cxx/current/,"https://docs.unidata.ucar.edu/netcdf-cxx/current/example1_8cpp_source.html , https://docs.unidata.ucar.edu/netcdf-cxx/current/simple__xy__rd_8cpp_source.html , https://docs.unidata.ucar.edu/netcdf-cxx/current/sfc__pres__temp__wr_8cpp_source.html "
netcdf-fortran,"aces, anvil, darwin, delta, expanse, faster",https://www.unidata.ucar.edu/software/netcdf/,https://docs.unidata.ucar.edu/netcdf-fortran/current/,"https://docs.unidata.ucar.edu/netcdf-fortran/current/f90-use-of-the-netcdf-library.html , https://github.com/Unidata/netcdf-fortran/tree/main/examples/F90 "
netcdf4-python,"aces, faster",https://unidata.github.io/netcdf4-python/,https://unidata.github.io/netcdf4-python/#header-functions,"https://unidata.github.io/netcdf4-python/#quick-install , https://unidata.github.io/netcdf4-python/#tutorial "
netcdff,stampede3,,,
netlib-lapack,"anvil, delta, expanse",https://www.netlib.org/lapack/,https://www.netlib.org/lapack/explore-html/,
netlib-scalapack,"delta, expanse",https://www.netlib.org/scalapack/,https://www.netlib.org/scalapack/#_documentation,
nettle,"aces, faster",https://www.lysator.liu.se/~nisse/nettle/,https://www.lysator.liu.se/~nisse/nettle/nettle.html,"https://www.lysator.liu.se/~nisse/nettle/nettle.html#Introduction , https://www.lysator.liu.se/~nisse/nettle/nettle.html#Example , https://git.lysator.liu.se/nettle/nettle/-/tree/master/examples "
networkx,"aces, faster",https://networkx.org/,https://networkx.org/documentation/stable/reference/index.html,"https://networkx.org/documentation/stable/reference/introduction.html , https://networkx.org/documentation/stable/tutorial.html , https://networkx.org/nx-guides/ "
neuron,expanse,,,
neusomatic,anvil,,,
newick_utils,faster,,,
nextalign,anvil,,,
nextclade,anvil,,,
nextdenovo,"anvil, faster",,,
nextflow,"anvil, bridges-2, faster",https://www.nextflow.io/,https://www.nextflow.io/docs/latest/index.html,"https://www.nextflow.io/docs/latest/overview.html , https://www.nextflow.io/docs/latest/your-first-script.html , https://www.nextflow.io/example1.html , https://training.nextflow.io/ "
nextpolish,"anvil, faster",,,
nf-core,anvil,,,
ngc,anvil,,,
nghttp2,"aces, faster",,,
nghttp3,"aces, faster",,,
ngs,faster,,,
ngs-bits,anvil,,,
ngsadmix,faster,,,
ngsld,anvil,,,
ngsutils,anvil,,,
ngtcp2,"aces, faster",,,
nibabel,aces,https://nipy.org/nibabel/,https://nipy.org/nibabel/api.html,"https://nipy.org/nibabel/manual.html , https://nipy.org/nibabel/tutorials.html "
ninja,"aces, darwin, expanse, faster, ookami",https://ninja-build.org/,https://ninja-build.org/manual.html,"https://ninja-build.org/manual.html#_writing_your_own_ninja_files , https://ninja-build.org/manual.html#_dyndep_examples"
nlohmann_json,"aces, faster",https://github.com/nlohmann/json,https://json.nlohmann.me/api/basic_json/,"https://github.com/nlohmann/json#examples , https://nlohmann.github.io/json/home/faq/"
nlopt,"aces, faster",https://github.com/stevengj/nlopt,https://nlopt.readthedocs.io/en/latest/,"https://nlopt.readthedocs.io/en/latest/NLopt_Introduction/ , https://nlopt.readthedocs.io/en/latest/NLopt_Tutorial/ "
nltk,faster,,,
nmad,aces,,,
node,delta,,,
nodejs,"aces, faster",https://nodejs.org/en,https://nodejs.org/api/,"https://nodejs.org/en/learn/getting-started/introduction-to-nodejs , https://www.w3schools.com/nodejs/ , https://www.youtube.com/watch?v=TlB_eWDSMt4"
nostack,expanse,,,
nspr,"aces, faster",https://firefox-source-docs.mozilla.org/nspr/index.html,https://firefox-source-docs.mozilla.org/nspr/reference/index.html#nspr-api-reference,"https://www-archive.mozilla.org/projects/nspr/reference/html/prlayer.html , https://www-archive.mozilla.org/projects/nspr/reference/html/prswitch.html "
