Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info
idl,"Darwin, Expanse, Stampede3",,,,,"IDL (Interactive Data Language) software is the trusted scientific programming language used across disciplines to create meaningful visualizations out of complex numerical data. From small-scale analysis programs to widely deployed applications, IDL provides the comprehensive computing environment you need to effectively get information from your data. 
Description Source: https://www.nv5geospatialsoftware.com/Products/IDL",https://www.nv5geospatialsoftware.com/Products/IDL,https://www.nv5geospatialsoftware.com/docs/using_idl_home.html,"https://www.nv5geospatialsoftware.com/docs/Command_Line_Options_for.html 
https://www.nv5geospatialsoftware.com/Learn/Videos/Video-Detail/PID/10263/mcat/18999/acat/2/evl/0/nsw/a/EDNSearch/idl","Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/",Expanse: 8.4
igenomes,Anvil,,,,,,,,,Anvil: https://www.rcac.purdue.edu/software/igenomes,Anvil: 2023-04-26
igprof,Aces,,,,,IgProf is a simple nice tool for measuring and analysing application memory and performance characteristics.,,,,Aces: https://hprc.tamu.edu/software/aces/,"Aces: 5.9.18
Faster: 5.9.18"
igv,"Anvil, Faster",,,,,"The Integrative Genomics Viewer (IGV) is a high-performance, easy-to-use, interactive tool for the visual exploration of genomic data. It supports flexible integration of all the common types of genomic data and metadata, investigator-generated or publicly available, loaded from local or cloud sources. 
Description Source: https://igv.org/doc/desktop/",https://igv.org/,https://igv.org/doc/desktop/#UserGuide/advanced/command_line/,"https://www.youtube.com/channel/UCb5W5WqauDOwubZHb-IA_rA 
https://igv.org/doc/desktop/#QuickStart/#2-load-a-reference-genome ","Anvil: https://www.rcac.purdue.edu/software/igv 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.11.9, 2.12.3
Faster: 2.9.4-Java-11"
iimkl,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2022B
iimpi,"Aces, Faster",,,,,"iimpi is EasyBuild support for intel compiler toolchain (includes Intel compilers (icc, ifort), Intel MPI). 
Description Source: https://docs.easybuild.io/api/easybuild/toolchains/iimpi/",https://docs.easybuild.io/api/easybuild/toolchains/iimpi/,https://docs.easybuild.io/api/easybuild/toolchains/iimpi/,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2021B, 2022A, 2022B, 2022.12, 2023A, 2023B, 2023.03, 2023.07
Faster: 2019B, 2020A, 2020B, 2020.12, 2021A, 2021B, 2022A, 2022B, 2022.00, 2022.05, 2022.09, ..."
iimpic,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2020B
imageio,"Aces, Faster",,,,,"Imageio is a Python library that provides an easy interface to read and write a wide range of image data, including animated images, volumetric data, and scientific formats. It is cross-platform, runs on Python 3.5+, and is easy to install. 
Description Source: https://imageio.readthedocs.io/en/stable/",https://github.com/imageio/imageio,https://imageio.readthedocs.io/en/stable/,https://imageio.readthedocs.io/en/stable/examples.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.22.2
Faster: 2.9.0, 2.13.5, 2.22.2"
imagej,"Aces, Faster",,,,,"ImageJ is a public domain Java image processing program inspired by NIH Image for the Macintosh. It runs, either as an online applet or as a downloadable application, on any computer with a Java 1.4 or later virtual machine. 
Description Source: https://imagej.net/ij/docs/intro.html",https://imagej.net/,https://imagej.net/ij/docs/guide/,"https://imagej.net/tutorials/ 
https://imagej.net/imaging/ ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.53T-Java-11
Faster: 1.54B-Java-1.8"
imagemagick,"Aces, Delta, Expanse, Faster, Ookami",Library,,,,"ImageMagick is a free, open-source software suite, used for editing and manipulating digital images. It can be used to create, edit, compose, or convert bitmap images, and supports a wide range of file formats, including JPEG, PNG, GIF, TIFF, and PDF.",https://imagemagick.org/index.php,https://imagemagick.org/script/command-line-tools.php,https://imagemagick.org/Usage/,"Aces: https://hprc.tamu.edu/software/aces/ 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 7.0.11-14, 7.1.0-4, 7.1.0-37, 7.1.0-53, 7.1.1-15
Delta: 6.9, 7.1.0
Expanse: E46Spvd, ...
Faster: 7.0.10-1, 7.0.10-35, 7.0.11-14, 7.1.0-4, 7.1.0-37, 7.1.0-53"
imake,Aces,,,,,imake is a Makefile-generator that is intended to make it easier to develop software portably for multiple systems.,,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 1.0.8
imath,"Aces, Faster",,,,,"Imath is a basic, light-weight, and efficient C++ representation of 2D and 3D vectors, 2x2, 3x3, and 4x4 matrices, and other simple but useful mathematical objects, functions, and data types common in computer graphics applications, including the half 16-bit floating-point type. 
Description Source: https://imath.readthedocs.io/en/latest/",https://github.com/AcademySoftwareFoundation/Imath,https://imath.readthedocs.io/en/latest/,https://imath.readthedocs.io/en/latest/concepts.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.1.5, 3.1.6, 3.1.7
Faster: 3.1.5, 3.1.6, 3.1.7"
imb,Kyric,,,,,,https://imbalanced-learn.org/stable/,https://imbalanced-learn.org/stable/references/index.html#api,"https://imbalanced-learn.org/stable/user_guide.html#user-guide 
https://imbalanced-learn.org/stable/install.html#getting-started 
https://imbalanced-learn.org/stable/auto_examples/index.html#general-examples ",,Kyric: 2019.6
imbalanced-learn,Aces,,,,,"Imbalanced-learn (imported as imblearn) is an open source, MIT-licensed library relying on scikit-learn (imported as sklearn) and provides tools when dealing with classification with imbalanced classes. 
Description Source: https://imbalanced-learn.org/stable/",https://imbalanced-learn.org/stable/,https://imbalanced-learn.org/stable/references/index.html#api,"https://imbalanced-learn.org/stable/user_guide.html#user-guide 
https://imbalanced-learn.org/stable/install.html#getting-started 
https://imbalanced-learn.org/stable/auto_examples/index.html#general-examples ",Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.10.1
imkl,"Aces, Faster",,,,,"The Intel® oneAPI Math Kernel Library (oneMKL) helps you achieve maximum performance with a math computing library of highly optimized, extensively parallelized routines for CPU and GPU. The library has C and Fortran interfaces for most routines on CPU, and SYCL interfaces for some routines on both CPU and GPU. 
Description Source: https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html#gs.4ofwv9",https://www.intel.com/content/www/us/en/developer/tools/oneapi/onemkl.html,https://www.intel.com/content/www/us/en/docs/onemkl/developer-reference-c/2024-1/overview.html,"https://github.com/oneapi-src/oneAPI-samples/tree/master/Libraries/oneMKL/matrix_mul_mkl 
https://github.com/oneapi-src/oneAPI-samples/tree/master/Libraries/oneMKL/block_cholesky_decomposition 
https://www.intel.com/content/www/us/en/docs/onemkl/get-started-guide/2024-1/overview.html#GUID-618F67AE-A641-4F48-80E6-AD6D9E70FA2F ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0, 2024.0.0
Faster: 2019.5.281, 2020.1.217, 2020.4.304, 2021.1.1, 2021.2.0, 2021.3.0, 2021.4.0, 2022.0.1, 2022.1.0, 2022.2.0, ..."
imkl-fftw,"Aces, Faster",,,,,"FFTW is a free collection of C routines for computing the discrete Fourier Transform (DFT) in one or more dimensions, and provides portability across platforms. The Intel Math Kernel Library (MKL) offers FFTW2 (for version 2.x) and FFTW3 (for version 3.x) interfaces to the Intel MKL Fast Fourier Transform and Trigonometric Transform functionality. These interfaces enable applications using FFTW to gain performance with Intel MKL without changing the application source code. 
Description Source: https://www.nas.nasa.gov/hecc/support/kb/mkl-fftw-interface_204.html",https://www.nas.nasa.gov/hecc/support/kb/mkl-fftw-interface_204.html,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0
Faster: 2021.4.0, 2022.0.1, 2022.1.0, 2022.2.0, 2022.2.1, 2023.0.0, 2023.1.0, ..."
iml,Aces,,,,,IML is a free library of C source code which implements algorithms for computing exact solutions to dense systems of linear equations over the integers.,,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 1.0.5
impi,"Aces, Anvil, Faster, Stampede3",,Intel Compiler,,,"impi is an intel MPI implementation. It is included in the Intel-2017.4 compiler. It is a good compiler for MPI programming on Xeon Phi. 
Description Source: https://hpc.loni.org/docs/guides/software.php?software=impi#",https://www.intel.com/content/www/us/en/developer/tools/oneapi/mpi-library.html#gs.5295ue,https://www.intel.com/content/www/us/en/docs/mpi-library/developer-reference-linux/2021-12/overview.html,https://www.intel.com/content/www/us/en/docs/mpi-library/get-started-guide-linux/2021-11/overview.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/impi 
Faster: https://hprc.tamu.edu/software/faster/ 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 2021.4.0, 2021.6.0, 2021.7.1, 2021.8.0, 2021.9.0, 2021.10.0, 2021.11.0
Anvil: 2019.5.281
Faster: 2018.5.288, 2019.7.217, 2019.9.304, 2021.1.1, 2021.2.0, 2021.3.0, 2021.4.0, 2021.5.0, 2021.6.0, 2021.7.0, ..."
impute2,Anvil,,,,,Impute2 is a genotype imputation and haplotype phasing program.,,,,Anvil: https://www.rcac.purdue.edu/software/impute2,Anvil: 2.3.2
infernal,"Anvil, Bridges-2",,,,,"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs). A CM is like a sequence profile, but it scores a combination of sequence consensus and RNA secondary structure consensus, so in many cases, it is more capable of identifying RNA homologs that conserve their secondary structure more than their primary sequence. 
Description Source: http://eddylab.org/infernal/",http://eddylab.org/infernal/,http://eddylab.org/infernal/Userguide.pdf,https://github.com/EddyRivasLab/infernal/blob/master/documentation/userguide/tutorial.tex,"Anvil: https://www.rcac.purdue.edu/software/infernal 
Bridges-2: https://www.psc.edu/resources/software/infernal","Anvil: 1.1.4
Bridges-2: 1.1.3"
init_opencl,Kyric,,,,,,,,,,"Kyric: Latest, 2021.1.1"
inputproto,Delta,,,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 2.3.2
inq,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 20230821
inspector,Kyric,,,,,,https://www.intel.com/content/www/us/en/developer/tools/oneapi/inspector.html#gs.52c03e,https://www.intel.com/content/www/us/en/docs/inspector/user-guide-linux/2024-1/overview.html,"https://www.intel.com/content/www/us/en/docs/inspector/get-started-guide/2024-1/linux.html 
https://www.intel.com/content/www/us/en/developer/articles/training/inspector-tutorials.html ",,"Kyric: Latest, 2021.1.1"
instrain,Anvil,,,,,"Instrain is a python program for analysis of co-occurring genome populations from metagenomes that allows highly accurate genome comparisons, analysis of coverage, microdiversity, and linkage, and sensitive SNP detection with gene localization and synonymous non-synonymous identification.",,,,Anvil: https://www.rcac.purdue.edu/software/instrain,"Anvil: 1.5.7, 1.6.3"
intarna,Anvil,,,,,Intarna is a general and fast approach to the prediction of RNA-RNA interactions incorporating both the accessibility of interacting sites as well as the existence of a user-definable seed interaction.,,,,Anvil: https://www.rcac.purdue.edu/software/intarna,Anvil: 3.3.1
intel,"Aces, Anvil, Bridges-2, Darwin, Delta, Expanse, Faster, Kyric, Stampede3",,Compilers,,,"Intel Compilers. Intel Parallel Studio XE 2020 Cluster Edition is an advanced, comprehensive C ++ and Fortran tool suite that simplifies and speeds HPC and cluster application development , debug, and tuning.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/intel 
Bridges-2: https://www.psc.edu/resources/software/intel 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 2023.1.0, 2023.2.0, 2023.2.0.231103
Anvil: 19.0.5.281
Bridges-2: 20.4, 2021.3.0, 2021.10.0
Delta: 2022.2.1, 2024.0.0
Expanse: Vecir2B, 6Pv46So
Faster: Toolkits, 2019B, 2020A, 2020B, 2020.12, 2021A, 2021B, 2022A, 2022B, 2022.00, 2022.05, ...
Kyric: 19.1.3.304"
intel compiler,Jetstream,,,,,,,,,,
intel_ai_toolkit,Delta,,Compilers,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 2023.1
intel_ipp_ia32,Kyric,,Compilers,,,,,,,,"Kyric: Latest, 2021.1.1"
intel_ipp_intel64,Kyric,,Compilers,,,,,,,,"Kyric: Latest, 2021.1.1"
intel_ippcp_ia32,Kyric,,Compilers,,,,,,,,"Kyric: Latest, 2021.1.1"
intel_ippcp_intel64,Kyric,,Compilers,,,,,,,,"Kyric: Latest, 2021.1.1"
intel-advisor,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-advisor,Bridges-2: 2023.2.0
intel-ccl,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-ccl,Bridges-2: 2021.10.0
intel-compiler,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-compiler,Bridges-2: 2023.2.1
intel-compiler-rt,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-compiler-rt,Bridges-2: 2023.2.1
intel-compiler-rt32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-compiler-rt32,Bridges-2: 2023.2.1
intel-compiler32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-compiler32,Bridges-2: 2023.2.1
intel-compilers,"Aces, Faster",,Compilers,,,"Intel C, C++ & Fortran compilers (classic and oneAPI)",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2021.2.0, 2021.4.0, 2022.1.0, 2022.2.0, 2022.2.1, ...
Faster: 2021.1.2, 2021.2.0, 2021.3.0, 2021.4.0, 2022.0.1, ..."
intel-dal,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dal,Bridges-2: 2023.2.0
intel-debugger,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-debugger,Bridges-2: 2023.2.0
intel-dev-utilities,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dev-utilities,Bridges-2: 2021.10.0
intel-dnnl,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dnnl,Bridges-2: 2023.2.0
intel-dnnl-cpu-gomp,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dnnl-cpu-gomp,Bridges-2: 2023.2.0
intel-dnnl-cpu-iomp,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dnnl-cpu-iomp,Bridges-2: 2023.2.0
intel-dnnl-cpu-tbb,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dnnl-cpu-tbb,Bridges-2: 2023.2.0
intel-dpct,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dpct,Bridges-2: 2023.2.0
intel-dpl,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-dpl,Bridges-2: 2022.2.0
intel-icc,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-icc,Bridges-2: 2023.2.1
intel-icc32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-icc32,Bridges-2: 2023.2.1
intel-inspector,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-inspector,Bridges-2: 2023.2.0
intel-ipp-ia32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-ipp-ia32,Bridges-2: 2021.9.0
intel-ipp-intel64,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-ipp-intel64,Bridges-2: 2021.9.0
intel-ippcp-ia32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-ippcp-ia32,Bridges-2: 2021.8.0
intel-ippcp-intel64,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-ippcp-intel64,Bridges-2: 2021.8.0
intel-itac,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-itac,Bridges-2: 2021.10.0
intel-mkl,"Anvil, Bridges-2, Darwin, Expanse",,Compilers,,,"Intel Math Kernel Library (MKL) contains ScaLAPACK, LAPACK, Sparse Solver, BLAS, Sparse BLAS, CBLAS, GMP, FFTs, DFTs, VSL, VML, and Interval Arithmetic routines.",https://www.rcac.purdue.edu/index.php/knowledge/applications/intel-mkl,https://www.intel.com/content/www/us/en/resources-documentation/developer.html#gs.5q9gn8,,"Anvil: https://www.rcac.purdue.edu/software/intel-mkl 
Bridges-2: https://www.psc.edu/resources/software/intel-mkl 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 2019.5.281, 2020.4.304
Bridges-2: 2023.2.0
Expanse: Flrwt2M, ..."
intel-mkl32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-mkl32,Bridges-2: 2023.2.0
intel-mpi,"Bridges-2, Expanse",,,,,,,,,"Bridges-2: https://www.psc.edu/resources/software/intel-mpi 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Bridges-2: 2021.10.0
Expanse: Ezrfjne, ..."
intel-oclfpga,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-oclfpga,Bridges-2: 2023.2.1
intel-oneapi,"Bridges-2, Darwin",,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-oneapi,"Bridges-2: 2023.2.1
Jetstream: 2023.0.0"
intel-oneapi-advisor,Delta,,Compilers,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 2024.0.0
intel-oneapi-compilers,Delta,,Compilers,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,"Delta: 2022.2.1, ..."
intel-oneapi-mkl,"Darwin, Delta",,Compilers,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 2024.0.0
intel-oneapi-mpi,Delta,,,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 2021.11.0
intel-python,"Darwin, Faster",,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2022.1.0
intel-tbb,"Bridges-2, Delta, Expanse",,,,,,,,,"Bridges-2: https://www.psc.edu/resources/software/intel-tbb 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Bridges-2: 2021.10.0
Delta: 2021.9.0
Expanse: 2020.3"
intel-tbb32,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-tbb32,Bridges-2: 2021.10.0
intel-vtune,Bridges-2,,,,,,,,,Bridges-2: https://www.psc.edu/resources/software/intel-vtune,Bridges-2: 2023.2.0
intelcuda,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2020B
intelmpi,Bridges-2,,,,,Intel MPI Libriaries. This module loads the Intel MPI implementation along with the Intel Compilers.,,,,Bridges-2: https://www.psc.edu/resources/software/intelmpi,"Bridges-2: 20.4-Intel20.4, 2021.3.0-Intel2021.3.0, ..."
interproscan,"Anvil, Faster",,,,,Interproscan is the software package that allows sequences to be scanned against InterPro's member database signatures.,,,,"Anvil: https://www.rcac.purdue.edu/software/interproscan 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 5.54_87.0, 5.61-93.0
Faster: 5.52-86.0"
intltool,"Aces, Faster",,,,,"intltool is a set of tools to centralize translation of many different file formats using GNU gettext-compatible PO files. 
Description Source: https://freedesktop.org/wiki/Software/intltool/",https://freedesktop.org/wiki/Software/intltool/,https://code.launchpad.net/intltool,"https://github.com/Distrotech/intltool/blob/master/README 
https://github.com/Distrotech/intltool/blob/master/doc/I18N-HOWTO ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.51.0
Faster: 0.51.0"
iomkl,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 2021A, 2022.00"
iompi,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 2020B, 2021A, 2022.00"
ior,"Delta, Expanse",,,,,,,,,"Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Delta: 3.3.0
Expanse: C3Prdsv, C5Wdybp, Fbtdgli, ..."
iperf3,Delta,,,,,,,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 3.6
ipmitool,Ookami,,,,,"ipmitool is a utility for managing and configuring devices that support the Intelligent Platform Management Interface.  IPMI is an open standard for monitoring, logging, recovery, inventory, and control of hardware that is implemented independent of the main CPU, BIOS, and OS. 
Description Source:  https://github.com/ipmitool/ipmitool",https://github.com/ipmitool/ipmitool,https://www.mankier.com/1/ipmitool,https://www.mankier.com/1/ipmitool#Examples,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
ipython,"Aces, Faster",,,,,"IPython is BSD-licensed, open-source software that is developed as a set of Subprojects under the ipython Github organization. These Subprojects are all part of the larger Project Jupyter umbrella. For further information about project governance, sponsorship and development, please see the Project page on Jupyter’s website. 
Description Source: https://ipython.org/project.html",https://ipython.org/,https://ipython.readthedocs.io/en/stable/,https://ipython.readthedocs.io/en/stable/interactive/tutorial.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 7.26.0, 8.5.0, 8.14.0
Faster: 7.15.0-Python-3.8.2, 7.18.1, 7.26.0, 8.5.0"
iq-tree,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: Lvmeedg-Omp
iqtree,Anvil,,,,,IQ-TREE is an efficient phylogenomic software by maximum likelihood.,,,,Anvil: https://www.rcac.purdue.edu/software/iqtree,"Anvil: 1.6.12, 2.1.2, 2.2.0_Beta, 2.2.2.2"
iqtree2,Anvil,,,,,IQ-TREE is an efficient phylogenomic software by maximum likelihood.,,,,Anvil: https://www.rcac.purdue.edu/software/iqtree2,"Anvil: 2.2.2.6, 2.2.2.9"
irods-icommands,Bridges-2,,,,,"iCommands, the default command line interface to iRODS.",,,,Bridges-2: https://www.psc.edu/resources/software/irods-icommands,Bridges-2: 4.3.0
isa-l,"Aces, Faster",,,,,"The Intel® Intelligent Storage Acceleration Library (Intel® ISA-L) provides tools to minimize disk space use and maximize storage throughput, security, and resilience. Learn about its optimized functions for RAID, erasure code, cyclic redundancy check (CRC) functions, cryptographic hash, encryption, and compression. 
Description Source: https://www.intel.com/content/www/us/en/developer/tools/isa-l/overview.html",https://www.intel.com/content/www/us/en/developer/tools/isa-l/overview.html,https://github.com/intel/isa-l/blob/master/doc/functions.md,"https://www.intel.com/content/www/us/en/developer/videos/intelligent-storage-acceleration-library.html 
https://github.com/intel/isa-l/tree/master/examples ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.30.0
Faster: 2.30.0"
isl,"Aces, Faster",,,,,isl is a library for manipulating sets and relations of integer points bounded by linear constraints.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.26
Faster: 0.26"
ismapper,Anvil,,,,,"ISMapper searches for IS positions in sequence data using paired end Illumina short reads, an IS query/queries of interest and a reference genome. ISMapper reports the IS positions it has found in each isolate, relative to the provided reference genome.",,,,Anvil: https://www.rcac.purdue.edu/software/ismapper,Anvil: 2.0.2
isoquant,Anvil,,,,,"IsoQuant is a tool for the genome-based analysis of long RNA reads, such as PacBio or Oxford Nanopores.",,,,Anvil: https://www.rcac.purdue.edu/software/isoquant,Anvil: 3.1.2
isoseq3,Anvil,,,,,,,,,Anvil: https://www.rcac.purdue.edu/software/isoseq3,"Anvil: 3.4.0, 3.7.0, 3.8.2"
itac,"Kyric, Stampede3",,,,,"The Intel® Trace Analyzer and Collector profiles and analyzes MPI applications to help focus your optimization efforts. 
Description Source: https://www.intel.com/content/www/us/en/developer/tools/oneapi/trace-analyzer.html#gs.4oj2fp",https://www.intel.com/content/www/us/en/developer/tools/oneapi/trace-analyzer.html,https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/user-guide-reference/2021-10/overview.html,"https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/get-started-guide/2021-10/overview.html 
https://www.intel.com/content/www/us/en/docs/vtune-profiler/tutorial-vtune-itac-mpi-openmp/2020/overview.html 
https://www.intel.com/content/www/us/en/docs/trace-analyzer-collector/tutorial-correctness-checking/9-1-update-2/overview-001.html ",Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,"Kyric: Latest, 2021.1.1"
itk,"Aces, Faster",,,,,"ITK is an open-source, cross-platform library that provides developers with an extensive suite of software tools for image analysis.  Developed through extreme programming methodologies, ITK builds on a proven, spatially-oriented architecture for processing, segmentation, and registration of scientific images in two, three, or more dimensions. 
Description Source: https://itk.org/",https://itk.org/,https://docs.itk.org/en/latest/,"https://examples.itk.org// 
https://github.com/InsightSoftwareConsortium/ScientificImageAnalysisVisualizationAndArtificialIntelligenceCourse 
https://itk.org/ItkSoftwareGuide.pdf ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.2.1
Faster: 5.2.1"
ivar,Anvil,,,,,Ivar is a computational package that contains functions broadly useful for viral amplicon-based sequencing.,,,,Anvil: https://www.rcac.purdue.edu/software/ivar,"Anvil: 1.3.1, 1.4.2"
jags,"Expanse, Faster",,,,,"JAGS is Just Another Gibbs Sampler.  It is a program for analysis of Bayesian hierarchical models using Markov Chain Monte Carlo (MCMC) simulation  not wholly unlike BUGS. 
Description Source: https://mcmc-jags.sourceforge.io/",https://mcmc-jags.sourceforge.io/,https://cran.r-project.org/web/packages/rjags/rjags.pdf,https://www.sas.rochester.edu/psc/thestarlab/help/JAGS.pdf,"Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Expanse: 4.3.0
Faster: 4.3.0"
jansson,"Aces, Faster",,,,,"Jansson is a C library for encoding, decoding and manipulating JSON data. Its main features and design principles are: * Simple and intuitive API and data model * Comprehensive documentation * No dependencies on other libraries * Full Unicode support (UTF-8) * Extensive test suite",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.13.1
Faster: 2.13.1"
