id,software_name,rp_software,description,software_type,software_class,research_area,research_discipline,id,website_links,documents,examples,area_specific,containers,rp_documents
917,libgit2,"aces, faster, ookami","libgit2 is a portable, pure C implementation of the Git core methods provided as a re-entrant linkable library with a solid API, allowing you to write native speed custom Git applications in any language that supports C bindings. Description Source:https://libgit2.org/",,,,,917,https://libgit2.org/,https://libgit2.org/libgit2/#HEAD,"https://libgit2.org/libgit2/ex/HEAD/add.html , https://libgit2.org/libgit2/ex/HEAD/blame.html , https://github.com/libgit2/libgit2/tree/main/examples ",,,
918,libglu,"aces, faster","freeglut is a free-software/open-source alternative to the OpenGL Utility Toolkit (GLUT) library. GLUT was originally written by Mark Kilgard to support the sample programs in the second edition OpenGL 'RedBook'. Since then, GLUT has been used in a wide variety of practical applications because it is simple, widely available and highly portable. Description Source:https://freeglut.sourceforge.net/",,,,,918,https://www.opengl.org/resources/libraries/,https://www.ibm.com/docs/en/aix/7.1?topic=manual-opengl-utility-glu-library,"https://learn.microsoft.com/en-us/windows/win32/opengl/opengl-utility-library , https://registry.khronos.org/OpenGL/specs/gl/glu1.3.pdf ",,,
919,libglvnd,"aces, faster","libglvnd is a vendor-neutral dispatch layer for arbitrating OpenGL API calls between multiple vendors. It allows multiple drivers from different vendors to coexist on the same filesystem, and determines which vendor to dispatch each API call to at runtime. Description Source:https://github.com/NVIDIA/libglvnd",,,,,919,https://gitlab.freedesktop.org/glvnd/libglvnd,https://github.com/NVIDIA/libglvnd/blob/master/README.md,https://github.com/NVIDIA/libglvnd/blob/master/src/EGL/icd_enumeration.md,,,
920,libgpg-error,"aces, faster, kyric","libgpg is a library that provides an API for interacting with GnuPG (GNU Privacy Guard) for encryption, decryption, and key management tasks. It allows developers to integrate GnuPG functionality into their applications.",,,,,920,https://gnupg.org/software/libgpg-error/index.html,https://github.com/gpg/libgpg-error/tree/master,https://github.com/gpg/libgpg-error/blob/master/doc/errorref.txt,,,
921,libgpuarray,"aces, faster",libgpuarray is a library to manipulate tensors on the GPU. Description Source:https://github.com/Theano/libgpuarray/tree/master,,,,,921,https://github.com/Theano/libgpuarray/tree/master,https://github.com/Theano/libgpuarray/blob/master/doc/conf.py,https://github.com/Theano/libgpuarray/blob/master/doc/installation.rst,,,
922,libharu,faster,,,,,,922,,,,,,
923,libice,delta,,,,,,923,,,,,,
924,libiconv,"aces, anvil, expanse, faster, kyric","libiconv provides an iconv() implementation, for use on systems which don't have one, or whose implementation cannot convert from/to Unicode. Description Source:https://www.gnu.org/software/libiconv/#TOCintroduction",,,,,924,https://www.gnu.org/software/libiconv/,https://www.gnu.org/software/libiconv/documentation/libiconv-1.13/,https://www.gnu.org/savannah-checkouts/gnu/libiconv/documentation/libiconv-1.17/iconv.1.html,,,
925,libidn,"aces, faster","GNU Libidn is a fully documented implementation of the Stringprep, Punycode and IDNA specifications. Libidn's purpose is to encode and decode internationalized domain names.",,,,,925,https://www.gnu.org/software/libidn/,https://www.gnu.org/software/libidn/manual/libidn.html,https://www.gnu.org/software/libidn/manual/libidn.html#Examples,,,
926,libidn2,"aces, faster, kyric",libidn2 is a library that implements internationalized domain name (IDN) encoding and decoding functions. It provides support for handling domain names with non-ASCII characters according to the IDNA2008 specification.,,,,,926,https://gitlab.com/libidn/libidn2,https://www.gnu.org/software/libidn/libidn2/manual/libidn2.html,"https://www.gnu.org/software/libidn/libidn2/manual/libidn2.html#Examples , https://www.gnu.org/software/libidn/libidn2/reference/libidn2-idn2.h.html ",,,
927,libint,"aces, faster",libint is a library for the evaluation of molecular integrals of many-body operators over Gaussian functions. Description Source:https://github.com/evaleev/libint?tab=readme-ov-file,,,,,927,https://github.com/evaleev/libint,https://github.com/evaleev/libint/wiki,https://github.com/evaleev/libint/wiki/using-modern-CPlusPlus-API,,,
928,libjpeg,delta,libjpeg is a widely used C library for reading and writing JPEG image files. It was developed by Tom Lane and the Independent JPEG Group (IJG) during the 1990's and it is now maintained by several developers using various services identified in the SourceForge summary. Description Source:https://libjpeg.sourceforge.net/,,,,,928,https://github.com/LuaDist/libjpeg/tree/master,https://github.com/LuaDist/libjpeg/blob/master/libjpeg.txt,"https://github.com/LuaDist/libjpeg/blob/master/example.c , https://github.com/LuaDist/libjpeg/blob/master/cjpeg.c , https://github.com/LuaDist/libjpeg/blob/master/djpeg.c , https://www.tspi.at/2020/03/20/libjpegexample.html ",,,
929,libjpeg-turbo,"aces, expanse, faster","libjpeg-turbo is a JPEG image codec that uses SIMD instructions (MMX, SSE2, AVX2, Neon, AltiVec) to accelerate baseline JPEG compression and decompression on x86, x86-64, Arm, and PowerPC systems, as well as progressive JPEG compression on x86, x86-64, and Arm systems. On such systems, libjpeg-turbo is generally 2-6x as fast as libjpeg, all else being equal. On other types of systems, libjpeg-turbo can still outperform libjpeg by a significant amount, by virtue of its highly-optimized Huffman coding routines. Description Source:https://libjpeg-turbo.org/",,,,,929,https://libjpeg-turbo.org/,https://libjpeg-turbo.org/Documentation/Documentation,"https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/tjexample.c , https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/java/TJExample.java ",,,
930,libmatheval,"expanse, faster",,,,,,930,,,,,,
931,libmd,delta,,,,,,931,,,,,,
932,libmesh,anvil,The libMesh library provides a framework for the numerical simulation of partial differential equations using arbitrary unstructured discretizations on serial and parallel platforms. A major goal of the library is to provide support for adaptive mesh refinement (AMR) computations in parallel while allowing a research scientist to focus on the physics they are modeling. Description Source:https://libmesh.github.io/,,,,,932,https://libmesh.github.io/,https://mooseframework.inl.gov/docs/doxygen/libmesh/index.html,https://libmesh.github.io/examples.html,,,
933,libnotify,ookami,"libnotify is a library for sending desktop notifications to a notification daemon, as defined in the org.freedesktop.Notifications Desktop Specification. These notifications can be used to inform the user about an event or display some form of information without getting in the user's way. Description Source:https://github.com/GNOME/libnotify",,,,,933,https://gitlab.gnome.org/GNOME/libnotify,https://gnome.pages.gitlab.gnome.org/libnotify/,https://rox.sourceforge.net/desktop/book/export/html/336.html,,,
934,libnsl,"delta, faster",,,,,,934,,,,,,
935,libogg,"aces, faster","libogg is a multimedia container format, and the native file and stream format for the Xiph.org multimedia codecs. As with all Xiph.org technology is it an open format free for anyone to use. Description Source:https://www.xiph.org/ogg/",,,,,935,https://xiph.org/ogg/,https://xiph.org/ogg/doc/libogg/,"https://xiph.org/ogg/doc/oggstream.html , https://xiph.org/ogg/doc/framing.html , https://xiph.org/ogg/doc/ogg-multiplex.html , https://xiph.org/ogg/doc/skeleton.html , https://wiki.xiph.org/Ogg ",,,
936,libopus,"aces, faster","libopus is a totally open, royalty-free, highly versatile audio codec. Opus is unmatched for interactive speech and music transmission over the Internet, but is also intended for storage and streaming applications. It is standardized by the Internet Engineering Task Force (IETF) as RFC 6716 which incorporated technology from Skype’s SILK codec and Xiph.Org’s CELT codec. Description Source:https://opus-codec.org/",,,,,936,https://opus-codec.org/,https://opus-codec.org/docs/,"https://www.ti.com/lit/an/spma076/spma076.pdf , https://www.ti.com/lit/ug/tiduc16/tiduc16.pdf , https://opus-codec.org/presentations/ ",,,
937,libpals,delta,,,,,,937,,,,,,
938,libpciaccess,"aces, expanse, faster, kyric",libpciaccess is a generic PCI access library. Description Source:https://cgit.freedesktop.org/xorg/lib/libpciaccess,,,,,938,https://gitlab.freedesktop.org/xorg/lib/libpciaccess,https://github.com/projectceladon/libpciaccess/blob/master/include/pciaccess.h,https://www.x.org/wiki/PciReworkHowto/,,,
939,libpng,"aces, anvil, expanse, faster, ookami","libpng is the official PNG reference library. It supports almost all PNG features, is extensible, and has been extensively tested for over 28 years. Description Source:http://www.libpng.org/pub/png/libpng.html",,,,,939,http://www.libpng.org/pub/png/libpng.html,http://www.libpng.org/pub/png/libpng-1.4.0-manual.pdf,http://www.libpng.org/pub/png/book/chapter13.html,,,
940,libpsl,"aces, faster",C library for the Public Suffix List,,,,,940,,,,,,
941,libreadline,"aces, faster","The GNU Readline library provides a set of functions for use by applications that allow users to edit command lines as they are typed in. Both Emacs and vi editing modes are available. The Readline library includes additional functions to maintain a list of previously-entered command lines, to recall and perhaps reedit those lines, and perform csh-like history expansion on previous commands. Description Source:https://tiswww.case.edu/php/chet/readline/rltop.html#Introduction",,,,,941,https://tiswww.case.edu/php/chet/readline/rltop.html,https://tiswww.case.edu/php/chet/readline/readline.html,"https://tiswww.case.edu/php/chet/readline/readline.html#Programming-with-GNU-Readline , https://thoughtbot.com/blog/tab-completion-in-gnu-readline",,,
942,librom,"aces, faster",,,,,,942,,,,,,
943,librs,darwin,,,,,,943,,,,,,
944,librsvg,"aces, faster","librsvg is a library to render SVG images to Cairo surfaces. GNOME uses this to render SVG icons. Outside of GNOME, other desktop environments use it for similar purposes. Wikimedia uses it for Wikipedia's SVG diagrams. Description Source:https://gitlab.gnome.org/GNOME/librsvg",,,,,944,https://wiki.gnome.org/Projects/LibRsvg,https://gnome.pages.gitlab.gnome.org/librsvg/Rsvg-2.0/index.html,https://gitlab.gnome.org/GNOME/librsvg/-/blob/main/examples/proportional.rs,,,
945,librttopo,"aces, faster",The RT Topology Library exposes an API to create and manage standard (ISO 13249 aka SQL/MM) topologies using user-provided data stores.,,,,,945,,,,,,
946,libsci,delta,,,,,,946,,,,,,
947,libseccomp,kyric,"libseccomp is a library for implementing secure computing mode (seccomp) filters in Linux systems. It enables developers to apply fine-grained filtering on system calls, restricting the actions that processes can perform for improved system security.",,,,,947,https://github.com/seccomp/libseccomp,https://github.com/seccomp/libseccomp/tree/main/doc/man/man3,https://outflux.net/teach-seccomp/,,,
948,libsigsegv,"faster, kyric","libsigsegv is a library for handling segmentation fault signals in Unix-like systems. It provides a mechanism for detecting, handling, and recovering from segment violation errors during program execution.",,,,,948,https://www.gnu.org/software/libsigsegv/,https://docs.oracle.com/cd/E88353_01/html/E37842/sigsegv-3.html,https://github.com/roswell/libsigsegv/blob/master/src/sigsegv.h.in,,,
949,libsm,delta,,,,,,949,,,,,,
950,libsndfile,"aces, delta, faster",libsndfile is a C library for reading and writing files containing sampled sound (such as MS Windows WAV and the Apple/SGI AIFF format) through one standard library interface. Description Source:https://libsndfile.github.io/libsndfile/,,,,,950,https://libsndfile.github.io/libsndfile/,https://libsndfile.github.io/libsndfile/api.html,https://libsndfile.github.io/libsndfile/FAQ.html,,,
951,libsodium,"aces, faster","libsodium is a modern, easy-to-use software library for encryption, decryption, signatures, password hashing, and more. Description Source:https://doc.libsodium.org/",,,,,951,https://github.com/jedisct1/libsodium,https://libsodium.gitbook.io/doc,"https://libsodium.gitbook.io/doc/usage , https://libsodium.gitbook.io/doc/quickstart",,,
952,libsoup,"aces, faster","libsoup is an HTTP client/server library for GNOME. It uses GObjects and the glib main loop, to integrate well with GNOME applications, and also has a synchronous API, for use in threaded applications.",,,,,952,,,,,,
953,libspatialindex,"aces, faster","C++ implementation of R*-tree, an MVR-tree and a TPR-tree with C API",,,,,953,,,,,,
954,libspatialite,"aces, faster",SpatiaLite is an open source library intended to extend the SQLite core to support fully fledged Spatial SQL capabilities.,,,,,954,,,,,,
955,libssh,faster,,,,,,955,,,,,,
956,libszip,anvil,"libzip is a C library for reading, creating, and modifying zip archives. Files can be added from data buffers, files, or compressed data copied directly from other zip archives. Changes made without closing the archive can be reverted. Description Source:https://libzip.org/",,,,,956,,,,,,
957,libtasn1,"aces, faster","Libtasn1 is the ASN.1 library used by GnuTLS, GNU Shishi and some other packages. It was written by Fabio Fiorina, and has been shipped as part of GnuTLS for some time but is now a proper GNU package.",,,,,957,,,,,,
958,libtiff,"aces, anvil, faster","The LibTIFF software provides support for the Tag Image File Format (TIFF), a widely used format for storing image data. Description Source:http://www.simplesystems.org/libtiff/",,,,,958,https://gitlab.com/libtiff/libtiff,https://libtiff.gitlab.io/libtiff/,https://libtiff.gitlab.io/libtiff/tools.html,,,
959,libtirpc,"aces, delta, expanse, faster","The libtirpc package contains libraries that support programs that use the Remote Procedure Call (RPC) API. It replaces the RPC, but not the NIS library entries that used to be in glibc. Description Source:https://www.linuxfromscratch.org/blfs/view/stable/basicnet/libtirpc.html",,,,,959,https://github.com/alisw/libtirpc,https://manpages.debian.org/jessie/libtirpc-dev/index.html,"https://manpages.debian.org/jessie/libtirpc-dev/rpc.3t.en.html , https://www.ibm.com/docs/en/i/7.5?topic=ustrdda-examples-developing-service-applications-based-ti-rpc-code ",,,
960,libtool,"aces, faster, kyric","GNU Libtool is a generic library support script that hides the complexity of using shared libraries behind a consistent, portable interface. Description Source:https://www.gnu.org/software/libtool/",,,,,960,https://www.gnu.org/software/libtool/,https://www.gnu.org/software/libtool/manual/libtool.html,"https://www.gnu.org/software/libtool/manual/html_node/Using-libtool.html , https://www.gnu.org/software/libtool/manual/html_node/Libtool-test-suite.html , https://www.gnu.org/software/libtool/manual/html_node/Cheap-tricks.html ",,,
961,libunistring,"aces, expanse, faster, kyric","libunistring is a library that provides functions for manipulating Unicode strings and characters, offering support for various Unicode operations and text processing tasks. It enables developers to work with Unicode data in a portable and efficient manner.",,,,,961,https://www.gnu.org/software/libunistring/,https://www.gnu.org/software/libunistring/manual/libunistring.html,"https://www.gnu.org/software/libunistring/manual/libunistring.html#Using-the-library , https://github.com/gnosis/libunistring/blob/master/doc/unistr.texi ",,,
962,libunwind,"aces, expanse, faster, ookami",libunwind is a portable and efficient C API for determining the current call chain of ELF program threads of execution and for resuming execution at any point in that call chain. The API supports both local (same process) and remote (other process) operation. Description Source:https://github.com/libunwind/libunwind,,,,,962,https://www.nongnu.org/libunwind/,https://www.nongnu.org/libunwind/docs.html,"https://github.com/cslarsen/libunwind-examples , https://github.com/daniel-thompson/libunwind-examples , https://eli.thegreenplace.net/2015/programmatic-access-to-the-call-stack-in-c/ ",,,
963,libv8,anvil,libv8 is a gem for distributing the v8 runtime libraries and headers in both source and binary form. Description Source:https://github.com/rubyjs/libv8,,,,,963,https://github.com/rubyjs/libv8,https://www.rubydoc.info/gems/libv8/5.9.211.38.0/Libv8,,,,
964,libvorbis,"aces, faster","libvorbis is a fully open, non-proprietary, patent-and-royalty-free, general-purpose compressed audio format for mid to high quality (8kHz-48.0kHz, 16+ bit, polyphonic) audio and music at fixed and variable bitrates from 16 to 128 kbps/channel. Description Source:https://xiph.org/vorbis/",,,,,964,https://gitlab.xiph.org/xiph/vorbis,https://xiph.org/vorbis/doc/libvorbis/reference.html,"https://xiph.org/vorbis/doc/libvorbis/overview.html , https://gitlab.xiph.org/xiph/vorbis/-/tree/master/examples ",,,
965,libvori,"aces, faster",libvori enables Voronoi integration of the electron density and support for compressed bqb file format in CP2k. Description Source:https://brehm-research.de/libvori.php,,,,,965,https://brehm-research.de/libvori.php,https://github.com/cp2k/cp2k/blob/master/INSTALL.md#2u-libvori-voronoi-integration-for-electrostatic-properties-from-electron-density,,,,
966,libwebp,"aces, faster","libwebp codec is a library to encode and decode images in WebP format. This package contains the library that can be used in other programs to add WebP support, as well as the command line tools ‘cwebp’ and ‘dwebp’ to compress and decompress images respectively. Description Source:https://chromium.googlesource.com/webm/libwebp",,,,,966,https://github.com/webmproject/libwebp/tree/main,https://github.com/webmproject/libwebp/blob/main/doc/api.md,https://github.com/webmproject/libwebp/tree/main/examples,,,
967,libwpe,"aces, faster","WPE is the reference WebKit port for embedded and low-consumption computer devices. It has been designed from the ground-up with performance, small footprint, accelerated content rendering, and simplicity of deployment in mind, bringing the excellence of the WebKit engine to countless platforms and target devices.",,,,,967,,,,,,
968,libx11,"anvil, delta",libx11 is the X11 protocol client library. Description Source:https://gitlab.freedesktop.org/xorg/lib/libx11,,,,,968,https://gitlab.freedesktop.org/xorg/lib/libx11,https://www.x.org/releases/current/doc/libX11/libX11/libX11.html,"https://tronche.com/gui/x/xlib/ , https://en.wikibooks.org/wiki/X_Window_Programming/Xlib ",,,
969,libxau,delta,,,,,,969,,,,,,
970,libxc,"aces, expanse, faster, ookami","libxc is a library of exchange-correlation and kinetic energy functionals for density-functional theory. The original aim was to provide a portable, well tested and reliable set of these functionals to be used by all the codes of the European Theoretical Spectroscopy Facility (ETSF), but the library has since grown to be used in several other types of codes as well; see below for a partial list. Description Source:https://www.tddft.org/programs/libxc/",,,,,970,https://gitlab.com/libxc/libxc,https://libxc.gitlab.io/manual/libxc-5.1.x/,"https://gitlab.com/libxc/libxc/-/blob/devel/examples/basic.c , https://gitlab.com/libxc/libxc/-/blob/devel/examples/get_refs.c ",,,
971,libxcb,delta,"The X protocol C-language Binding (libXCB) is a replacement for Xlib featuring a small footprint, latency hiding, direct access to the protocol, improved threading support, and extensibility. Description Source:https://xcb.freedesktop.org/",,,,,971,https://xcb.freedesktop.org/,https://xcb.freedesktop.org/PublicApi/,"https://xcb.freedesktop.org/tutorial/ , https://xcb.freedesktop.org/XcbNotes/  , https://www.x.org/releases/X11R7.7/doc/libxcb/tutorial/index.html ",,,
972,libxdmcp,delta,,,,,,972,,,,,,
973,libxml2,"aces, anvil, faster, kyric","libxml2 is an XML toolkit implemented in C, originally developed for the GNOME Project. Description Source:https://gitlab.gnome.org/GNOME/libxml2/-/blob/master/README.md?ref_type=heads",,,,,973,https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxml2/devhelp/general.html,"https://gitlab.gnome.org/GNOME/libxml2/-/wikis/Tutorial , https://gitlab.gnome.org/GNOME/libxml2/-/tree/master/example ",,,
974,libxscrnsaver,anvil,,,,,,974,,,,,,
975,libxslt,"aces, anvil, faster",libxslt is the XSLT C library developed for the GNOME project. XSLT itself is a an XML language to define transformation for XML. Libxslt is based on libxml2 the XML C library developed for the GNOME project. Description Source:http://xmlsoft.org/libxslt/index.html,,,,,975,https://gitlab.gnome.org/GNOME/libxslt/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxslt/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxslt/tutorial/libxslttutorial.html , https://gnome.pages.gitlab.gnome.org/libxslt/tutorial2/libxslt_pipes.html ",,,
976,libxsmm,"aces, faster","libxsmm is a library for specialized dense and sparse matrix operations as well as for deep learning primitives such as small convolutions. The library is targeting Intel Architecture with Intel SSE, Intel AVX, Intel AVX2, Intel AVX‑512 (with VNNI and Bfloat16), and Intel AMX (Advanced Matrix Extensions) supported by future Intel processor code-named Sapphire Rapids. Description Source:https://github.com/libxsmm/libxsmm",,,,,976,https://github.com/libxsmm/libxsmm,https://libxsmm.readthedocs.io/en/latest/,"https://libxsmm.readthedocs.io/en/latest/libxsmm_samples/ , https://github.com/libxsmm/libxsmm/tree/main/samples/magazine ",,,
977,libxt,delta,,,,,,977,,,,,,
978,libyaml,"aces, faster",LibYAML is a YAML parser and emitter library. Description Source:https://pyyaml.org/wiki/LibYAML,,,,,978,https://github.com/yaml/libyaml,https://pyyaml.org/wiki/LibYAML,"https://github.com/yaml/libyaml/tree/master/tests , https://github.com/yaml/libyaml/tree/master/examples ",,,
979,libzip,"aces, faster","libzip is a C library for reading, creating, and modifying zip archives.",,,,,979,,,,,,
980,lifelines,aces,"lifelines is a complete survival analysis library, written in pure Python. Description Source:https://lifelines.readthedocs.io/en/latest/#",,,,,980,https://github.com/CamDavidsonPilon/lifelines,https://lifelines.readthedocs.io/en/stable/,"https://lifelines.readthedocs.io/en/stable/ , https://lifelines.readthedocs.io/en/stable/Examples.html , https://github.com/CamDavidsonPilon/lifelines/tree/master/examples ",,,
981,liftoff,anvil,Liftoff is an accurate GFF3/GTF lift over pipeline.,,,,,981,,,,,,
982,liftofftools,anvil,LiftoffTools is a toolkit to compare genes lifted between genome assemblies.,,,,,982,,,,,,
983,likwid,"faster, kyric, ookami","LIKWID stands for “Like I Knew What I’m Doing.” It is an easy to use yet powerful command line performance tool suite for the GNU/Linux operating system. While  LIKWID supported only x86 processors at the beginning, it has been ported to ARM (including Fujitsu A64FX)  and POWER8/9 architectures as well as to NVIDIA  and AMD GPGPUs. Some of its tools are even architecture agnostic. Description Source:https://hpc.fau.de/research/tools/likwid/",,,,,983,https://hpc.fau.de/research/tools/likwid/,https://github.com/RRZE-HPC/likwid/wiki,"https://github.com/RRZE-HPC/likwid/wiki/TutorialStart , https://www.youtube.com/playlist?list=PLxVedhmuwLq2CqJpAABDMbZG8Whi7pKsk , https://github.com/RRZE-HPC/likwid#usage-examples , https://github.com/RRZE-HPC/likwid/tree/master/examples",,,
984,lima,anvil,Lima is the standard tool to identify barcode and primer sequences in PacBio single-molecule sequencing data.,,,,,984,,,,,,
985,linaro,ookami,,,,,,985,https://www.linaroforge.com/,https://docs.linaroforge.com/23.1.2/html/forge/index.html,"https://docs.linaroforge.com/23.1.2/html/forge/worked_examples_appendix/mmult/index.html , https://www.stonybrook.edu/commcms/ookami/support/faq/_docs/Linaro-Ookami.pdf ",,,
986,links,anvil,"LINKS is a genomics application for scaffolding genome assemblies with long reads, such as those produced by Oxford Nanopore Technologies Ltd.",,,,,986,,,,,,
987,lis,faster,,,,,,987,,,,,,
988,littlecms,"aces, faster","Little CMS intends to be an OPEN SOURCE small-footprint color management engine, with special focus on accuracy and performance. It uses the International Color Consortium standard (ICC), which is the modern standard when regarding to color management. Description Source:https://github.com/mm2/Little-CMS",,,,,988,https://www.littlecms.com/,https://www.littlecms.com/LittleCMS2.16%20API.pdf,"https://www.littlecms.com/LittleCMS2.16%20tutorial.pdf , https://www.littlecms.com/LittleCMS2.16%20Plugin%20API.pdf ",,,
989,lldb,ookami,"LLDB is a next generation, high-performance debugger. It is built as a set of reusable components which highly leverage existing libraries in the larger LLVM Project, such as the Clang expression parser and LLVM disassembler. Description Source:https://lldb.llvm.org/",,,,,989,https://lldb.llvm.org/,https://lldb.llvm.org/man/lldb.html,"https://lldb.llvm.org/use/tutorial.html , https://lldb.llvm.org/python_api.html ",,,
990,llvm,"aces, darwin, delta, faster, ookami","The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Despite its name, LLVM has little to do with traditional virtual machines. Description Source:https://llvm.org/",,,,,990,https://llvm.org/,https://llvm.org/docs/Reference.html,"https://llvm.org/docs/GettingStartedTutorials.html , https://llvm.org/docs/UserGuides.html ",,,
991,lmdb,"aces, faster","LMDB is a universal Python binding for the LMDB ‘Lightning’ Database. Two variants are provided and automatically selected during install: a CFFI variant that supports PyPy and all versions of CPython >=2.7, and a C extension that supports CPython >=2.7 and >=3.4. Both variants provide the same interface. Description Source:https://lmdb.readthedocs.io/en/release/",,,,,991,http://www.lmdb.tech/doc/,http://www.lmdb.tech/doc/group__mdb.html,http://www.lmdb.tech/doc/starting.html,,,
992,lmod,"aces, bridges-2, delta, faster, stampede3",Lmod is a Lua based module system that easily handles the MODULEPATH Hierarchical problem. Environment Modules provide a convenient way to dynamically change the users’ environment through modulefiles. This includes easily adding or removing directories to the PATH environment variable. Description Source:https://lmod.readthedocs.io/en/latest/,,,,,992,https://lmod.readthedocs.io/en/latest/,https://lmod.readthedocs.io/en/latest/010_user.html,"https://lmod.readthedocs.io/en/latest/015_writing_modules.html , https://lmod.readthedocs.io/en/latest/100_modulefile_examples.html , https://lmod.readthedocs.io/en/latest/020_advanced.html ",,,
993,lofreq,anvil,Lofreq is a fast and sensitive variant-caller for inferring SNVs and indels from next-generation sequencing data.,,,,,993,,,,,,
994,longphase,anvil,LongPhase is an ultra-fast program for simultaneously co-phasing SNPs and SVs by using Nanopore and PacBio long reads.,,,,,994,,,,,,
995,longqc,anvil,LongQC is a tool for the data quality control of the PacBio and ONT long reads.,,,,,995,,,,,,
996,loopy,faster,,,,,,996,,,,,,
997,lowcharts,bridges-2,lowcharts is a tool to draw low-resolution graphs in terminal. Description Source:https://github.com/juan-leon/lowcharts,,,,,997,https://github.com/juan-leon/lowcharts,https://docs.rs/lowcharts/latest/lowcharts/all.html,https://docs.rs/lowcharts/latest/lowcharts/#getting-started,,,
998,lra,anvil,"Lra is a sequence alignment program that aligns long reads from single-molecule sequencing (SMS) instruments, or megabase-scale contigs from SMS assemblies.",,,,,998,,,,,,
999,ltr_finder,anvil,LTR_Finder is an efficient program for finding full-length LTR retrotranspsons in genome sequences.,,,,,999,,,,,,
1000,ltrpred,anvil,,,,,,1000,,,,,,
1001,ltrpred(ict),anvil,LTRpred(ict): de novo annotation of young and intact retrotransposons.,,,,,1001,,,,,,
1002,lua,"aces, expanse, faster, ookami","Lua is a powerful, fast, lightweight, embeddable scripting language. Lua combines simple procedural syntax with powerful data description constructs based on associative arrays and extensible semantics. Lua is dynamically typed, runs by interpreting bytecode for a register-based virtual machine, and has automatic memory management with incremental garbage collection, making it ideal for configuration, scripting, and rapid prototyping.",,,,,1002,https://www.lua.org/,https://www.lua.org/manual/5.4/,"https://www.lua.org/pil/contents.html , https://www.dcc.ufrj.br/~fabiom/lua/ , http://lua-users.org/wiki/SampleCode , http://lua-users.org/wiki/ ",,,
1003,lumpy,faster,,,,,,1003,,,,,,
1004,lumpy-sv,anvil,Lumpy-sv is a general probabilistic framework for structural variant discovery.,,,,,1004,,,,,,
1005,lvm2,kyric,"LVM2 (Logical Volume Manager 2) is a toolset that allows for logical volume management on Linux systems. It enables users to manage storage objects such as physical volumes, volume groups, and logical volumes, providing flexibility and scalability for storage allocation and management.",,,,,1005,https://sourceware.org/lvm2/,https://sourceware.org/git/?p=lvm2.git;a=tree;f=man;hb=HEAD,"https://tldp.org/HOWTO/LVM-HOWTO/index.html , https://sourceware.org/lvm2/wiki/UserDocumentation , https://www.howtoforge.com/linux_lvm",,,
1006,lxml,"aces, faster","The lxml XML toolkit is a Pythonic binding for the C libraries libxml2 and libxslt. It is unique in that it combines the speed and XML feature completeness of these libraries with the simplicity of a native Python API, mostly compatible but superior to the well-known ElementTree API.",,,,,1006,https://lxml.de/,https://lxml.de/apidoc/lxml.html,"https://lxml.de/tutorial.html , https://web.archive.org/web/20110108100213/https://infohost.nmt.edu/tcc/help/pubs/pylxml/ ",,,
1007,lyveset,anvil,"Lyveset is a method of using hqSNPs to create a phylogeny, especially for outbreak investigations.",,,,,1007,,,,,,
1008,lz4,"aces, faster, ookami","LZ4 is lossless compression algorithm, providing compression speed > 500 MB/s per core (>0.15 Bytes/cycle). It features an extremely fast decoder, with speed in multiple GB/s per core (~1 Byte/cycle). A high compression derivative, called LZ4_HC, is available, trading customizable CPU time for compression ratio. Description Source:https://lz4.org/",,,,,1008,https://lz4.org/,https://github.com/lz4/lz4/tree/dev/doc,"https://htmlpreview.github.io/?https://github.com/lz4/lz4/blob/master/doc/lz4_manual.html , https://github.com/lz4/lz4/blob/dev/examples/streaming_api_basics.md , https://github.com/lz4/lz4/blob/dev/examples/blockStreaming_doubleBuffer.md , https://github.com/lz4/lz4/tree/dev/examples ",,,
1009,lzip,darwin,,,,,,1009,,,,,,
1010,lzma,delta,,,,,,1010,,,,,,
1011,lzo,faster,,,,,,1011,,,,,,
1012,m4,"aces, faster, kyric","GNU M4 is an implementation of the traditional Unix macro processor. It is mostly SVR4 compatible although it has some extensions (for example, handling more than 9 positional parameters to macros). GNU M4 also has built-in functions for including files, running shell commands, doing arithmetic, etc. Description Source:https://www.gnu.org/software/m4/",,Utilties,,,1012,https://www.gnu.org/software/m4/m4.html,https://www.gnu.org/software/m4/manual/m4.html,"https://mbreen.com/m4.html , https://www3.physnet.uni-hamburg.de/physnet/Tru64-Unix/HTML/APS32DTE/M4XXXXXX.HTM , https://www.linuxtoday.com/blog/macro-m4-guide/ ,  https://www.youtube.com/watch?v=yrurIUEGo1c , https://www.youtube.com/watch?v=ULZxHSPWn98",,,
1013,macrel,anvil,Macrel is a pipeline to mine antimicrobial peptides (AMPs) from (meta)genomes.,,,,,1013,,,,,,
1014,macs2,anvil,MACS2 is Model-based Analysis of ChIP-Seq for identifying transcript factor binding sites.,,,,,1014,,,,,,
