Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
libatomic_ops,aces,,,,,This package provides semi-portable access to hardware-provided atomic memory update operations on a number of architectures.,,,,,,,
libbeagle,expanse,,,,,,,,,,,,
libbsd,"delta, kyric",Library,,,,libbsd is a library that provides a collection of functions from the FreeBSD operating system for enhancing compatibility and portability across different Unix-like systems. It includes various system-related functions that are widely used in Unix programming to access system services and perform low-level operations.,https://libbsd.freedesktop.org/wiki/,https://gitlab.freedesktop.org/libbsd/libbsd/-/tree/main/man,https://man.archlinux.org/man/libbsd.7.en,,,,
libcap-devel,ookami,,,,,"libcap is a library that provides user-space interfaces and utilities for POSIX capabilities, allowing fine-grained control over privileges and permissions assigned to processes. It helps in implementing security policies, restricting capabilities, and reducing the privileged actions of applications.",https://git.kernel.org/pub/scm/libs/libcap/libcap.git/about/,https://git.kernel.org/pub/scm/libs/libcap/libcap.git/tree/doc,https://git.kernel.org/pub/scm/libs/libcap/libcap.git/tree/progs,,,,
libcdms,faster,,,,,,,,,,,,
libcerf,"aces, faster",,,,,"libcerf is a self-contained numeric library that provides an efficient and accurate implementation of complex error functions, along with Dawson, Faddeeva, and Voigt functions. Description Source:https://jugit.fz-juelich.de/mlz/libcerf",https://jugit.fz-juelich.de/mlz/libcerf,https://jugit.fz-juelich.de/mlz/libcerf/-/tree/main/man,https://jugit.fz-juelich.de/mlz/libcerf/-/tree/main/test,,,,
libcifpp,faster,,,,,,,,,,,,
libdap,"aces, faster",,,,,libdap is a C++ implementation of DAP2 with some extensions. The libdap library includes classes and functions which implement DAP 2.0 as well as utilities which simpify building clients and servers for DAP 2.0 and DAP4.0. Description Source:https://opendap.github.io/libdap4/html/index.html,https://github.com/OPENDAP/libdap,https://opendap.github.io/libdap4/html/,https://github.com/OPENDAP/libdap/blob/master/README#L220,,,,
libdeflate,"aces, faster",,,,,libdeflate is a heavily optimized library for DEFLATE/zlib/gzip compression and decompression. Description Source:https://github.com/ebiggers/libdeflate,https://github.com/ebiggers/libdeflate,https://github.com/ebiggers/libdeflate/blob/master/libdeflate.h,https://github.com/ebiggers/libdeflate/blob/master/scripts/run_tests.sh,,,,
libdrm,"aces, faster",,,,,"This is libdrm, a userspace library for accessing the DRM, direct rendering manager, on Linux, BSD and other operating systems that support the ioctl interface. The library provides wrapper functions for the ioctls to avoid exposing the kernel interface directly, and for chipsets with drm memory manager, support for tracking relocations and buffers. Description Source:https://gitlab.freedesktop.org/mesa/drm",https://gitlab.freedesktop.org/mesa/drm,https://dri.freedesktop.org/docs/drm/gpu/drm-uapi.html,"https://dri.freedesktop.org/docs/drm/process/index.html#an-introduction-to-how-kernel-development-works , https://dri.freedesktop.org/docs/drm/dev-tools/testing-overview.html ",,,,
libdrs,faster,,,,,,,,,,,,
libedit,kyric,,,,,"libedit is a library for reading and editing user input in a command-line interface. It provides tools for handling input editing, command history, and line parsing in a terminal environment.",https://thrysoee.dk/editline/,https://man.openbsd.org/editline.3,https://github.com/cdesjardins/libedit/tree/master/examples,,,,
libepoxy,"aces, faster",,,,,"Epoxy is a library for handling OpenGL function pointer management for you. It hides the complexity of dlopen(), dlsym(), glXGetProcAddress(), eglGetProcAddress(), etc. from the app developer, with very little knowledge needed on their part. They get to read GL specs and write code using undecorated function names like glCompileShader(). Description Source:https://github.com/anholt/libepoxy",https://github.com/anholt/libepoxy,https://github.com/anholt/libepoxy/blob/master/README.md,https://github.com/anholt/libepoxy#switching-your-code-to-using-epoxy,,,,
libev,"aces, faster",,,,,"A full-featured and high-performance (see benchmark) event loop that is loosely modelled after libevent, but without its limitations and bugs. It is used in GNU Virtual Private Ethernet, rxvt-unicode, auditd, the Deliantra MORPG Server and Client, and many other programs.",,,,,,,
libevent,"aces, faster, kyric",,,,,"Libevent is an event notification library for developing scalable network servers. The Libevent API provides a mechanism to execute a callback function when a specific event occurs on a file descriptor or after a timeout has been reached. Furthermore, Libevent also support callbacks due to signals or regular timeouts. Description Source:https://libevent.org/doc/",https://libevent.org/,https://libevent.org/doc/,http://www.wangafu.net/~nickm/libevent-book/,,,,
libfabric,"aces, anvil, darwin, delta, faster, kyric, ookami",,,,,"Libfabric, also known as Open Fabrics Interfaces (OFI), defines a communication API for high-performance parallel and distributed applications. It is a low-level communication library that abstracts diverse networking technologies. Description Source:https://ofiwg.github.io/libfabric/",https://ofiwg.github.io/libfabric/,https://ofiwg.github.io/libfabric/v1.20.1/man/,https://ofiwg.github.io/libfabric/main/man/fi_guide.7.html,,,,
libffi,"aces, delta, faster, kyric, ookami",,,,,"The libffi library provides a portable, high level programming interface to various calling conventions. This allows a programmer to call any function specified by a call interface description at run-time. FFI stands for Foreign Function Interface. A foreign function interface is the popular name for the interface that allows code written in one language to call code written in another language. The libffi library really only provides the lowest, machine dependent layer of a fully featured foreign function interface. Description Source:https://github.com/libffi/libffi",https://sourceware.org/libffi/,https://github.com/libffi/libffi/blob/master/man/ffi_call.3,https://github.com/libffi/libffi/blob/master/doc/libffi.texi,,,,
libflame,"anvil, faster",,,,,"libflame is a portable library for dense matrix computations, providing much of the functionality present in LAPACK, developed by current and former members of the Science of High-Performance Computing (SHPC) group in the Institute for Computational Engineering and Sciences at The University of Texas at Austin. libflame includes a compatibility layer, lapack2flame, which includes a complete LAPACK implementation. Description Source:https://github.com/flame/libflame",https://shpc.oden.utexas.edu/libFLAME.html,https://github.com/flame/libflame/blob/master/docs/libflame/libflame.pdf,"https://github.com/flame/libflame/blob/master/examples/appg_test/FLA_Apply_G_rf_asm_var1.c , https://github.com/flame/libflame/blob/master/examples/chol/Chol_blk_var1.c ",,,,
libgcrypt,"aces, faster",,,,,Libgcrypt is a general purpose cryptographic library originally based on code from GnuPG,,,,,,,
libgd,"aces, faster, ookami",,,,,"GD is an open source code library for the dynamic creation of images by programmers. GD is written in C, and ""wrappers"" are available for Perl, PHP, ruby and many other bindings. Description Source:https://libgd.github.io/pages/about.html",https://libgd.github.io/,https://libgd.github.io/manuals/2.3.0/files/preamble-txt.html,https://libgd.github.io/pages/faq.html,,,,
libgeotiff,"aces, faster",,,,,"libgeotiff is a library designed to permit the extraction and parsing of the ""GeoTIFF"" Key directories, as well as definition and installation of GeoTIFF keys in new files. Description Source:https://github.com/OSGeo/libgeotiff?tab=readme-ov-file",https://github.com/OSGeo/libgeotiff,https://github.com/OSGeo/libgeotiff/tree/master/libgeotiff/man/man1,https://github.com/OSGeo/libgeotiff/blob/master/libgeotiff/docs/manual.txt,,,,
libgit2,"aces, faster, ookami",,,,,"libgit2 is a portable, pure C implementation of the Git core methods provided as a re-entrant linkable library with a solid API, allowing you to write native speed custom Git applications in any language that supports C bindings. Description Source:https://libgit2.org/",https://libgit2.org/,https://libgit2.org/libgit2/#HEAD,"https://libgit2.org/libgit2/ex/HEAD/add.html , https://libgit2.org/libgit2/ex/HEAD/blame.html , https://github.com/libgit2/libgit2/tree/main/examples ",,,,
libglu,"aces, faster",,,,,"freeglut is a free-software/open-source alternative to the OpenGL Utility Toolkit (GLUT) library. GLUT was originally written by Mark Kilgard to support the sample programs in the second edition OpenGL 'RedBook'. Since then, GLUT has been used in a wide variety of practical applications because it is simple, widely available and highly portable. Description Source:https://freeglut.sourceforge.net/",https://www.opengl.org/resources/libraries/,https://www.ibm.com/docs/en/aix/7.1?topic=manual-opengl-utility-glu-library,"https://learn.microsoft.com/en-us/windows/win32/opengl/opengl-utility-library , https://registry.khronos.org/OpenGL/specs/gl/glu1.3.pdf ",,,,
libglvnd,"aces, faster",,,,,"libglvnd is a vendor-neutral dispatch layer for arbitrating OpenGL API calls between multiple vendors. It allows multiple drivers from different vendors to coexist on the same filesystem, and determines which vendor to dispatch each API call to at runtime. Description Source:https://github.com/NVIDIA/libglvnd",https://gitlab.freedesktop.org/glvnd/libglvnd,https://github.com/NVIDIA/libglvnd/blob/master/README.md,https://github.com/NVIDIA/libglvnd/blob/master/src/EGL/icd_enumeration.md,,,,
libgpg-error,"aces, faster, kyric",,,,,"libgpg is a library that provides an API for interacting with GnuPG (GNU Privacy Guard) for encryption, decryption, and key management tasks. It allows developers to integrate GnuPG functionality into their applications.",https://gnupg.org/software/libgpg-error/index.html,https://github.com/gpg/libgpg-error/tree/master,https://github.com/gpg/libgpg-error/blob/master/doc/errorref.txt,,,,
libgpuarray,"aces, faster",,,,,libgpuarray is a library to manipulate tensors on the GPU. Description Source:https://github.com/Theano/libgpuarray/tree/master,https://github.com/Theano/libgpuarray/tree/master,https://github.com/Theano/libgpuarray/blob/master/doc/conf.py,https://github.com/Theano/libgpuarray/blob/master/doc/installation.rst,,,,
libharu,faster,,,,,,,,,,,,
libice,delta,,,,,,,,,,,,
libiconv,"aces, anvil, expanse, faster, kyric",,,,,"libiconv provides an iconv() implementation, for use on systems which don't have one, or whose implementation cannot convert from/to Unicode. Description Source:https://www.gnu.org/software/libiconv/#TOCintroduction",https://www.gnu.org/software/libiconv/,https://www.gnu.org/software/libiconv/documentation/libiconv-1.13/,https://www.gnu.org/savannah-checkouts/gnu/libiconv/documentation/libiconv-1.17/iconv.1.html,,,,
libidn,"aces, faster",,,,,"GNU Libidn is a fully documented implementation of the Stringprep, Punycode and IDNA specifications. Libidn's purpose is to encode and decode internationalized domain names.",https://www.gnu.org/software/libidn/,https://www.gnu.org/software/libidn/manual/libidn.html,https://www.gnu.org/software/libidn/manual/libidn.html#Examples,,,,
libidn2,"aces, faster, kyric",,,,,libidn2 is a library that implements internationalized domain name (IDN) encoding and decoding functions. It provides support for handling domain names with non-ASCII characters according to the IDNA2008 specification.,https://gitlab.com/libidn/libidn2,https://www.gnu.org/software/libidn/libidn2/manual/libidn2.html,"https://www.gnu.org/software/libidn/libidn2/manual/libidn2.html#Examples , https://www.gnu.org/software/libidn/libidn2/reference/libidn2-idn2.h.html ",,,,
libint,"aces, faster",,,,,libint is a library for the evaluation of molecular integrals of many-body operators over Gaussian functions. Description Source:https://github.com/evaleev/libint?tab=readme-ov-file,https://github.com/evaleev/libint,https://github.com/evaleev/libint/wiki,https://github.com/evaleev/libint/wiki/using-modern-CPlusPlus-API,,,,
libjpeg,delta,,,,,libjpeg is a widely used C library for reading and writing JPEG image files. It was developed by Tom Lane and the Independent JPEG Group (IJG) during the 1990's and it is now maintained by several developers using various services identified in the SourceForge summary. Description Source:https://libjpeg.sourceforge.net/,https://github.com/LuaDist/libjpeg/tree/master,https://github.com/LuaDist/libjpeg/blob/master/libjpeg.txt,"https://github.com/LuaDist/libjpeg/blob/master/example.c , https://github.com/LuaDist/libjpeg/blob/master/cjpeg.c , https://github.com/LuaDist/libjpeg/blob/master/djpeg.c , https://www.tspi.at/2020/03/20/libjpegexample.html ",,,,
libjpeg-turbo,"aces, expanse, faster",,,,,"libjpeg-turbo is a JPEG image codec that uses SIMD instructions (MMX, SSE2, AVX2, Neon, AltiVec) to accelerate baseline JPEG compression and decompression on x86, x86-64, Arm, and PowerPC systems, as well as progressive JPEG compression on x86, x86-64, and Arm systems. On such systems, libjpeg-turbo is generally 2-6x as fast as libjpeg, all else being equal. On other types of systems, libjpeg-turbo can still outperform libjpeg by a significant amount, by virtue of its highly-optimized Huffman coding routines. Description Source:https://libjpeg-turbo.org/",https://libjpeg-turbo.org/,https://libjpeg-turbo.org/Documentation/Documentation,"https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/tjexample.c , https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/java/TJExample.java ",,,,
libmatheval,"expanse, faster",,,,,,,,,,,,
libmd,delta,,,,,,,,,,,,
libmesh,anvil,,,,,The libMesh library provides a framework for the numerical simulation of partial differential equations using arbitrary unstructured discretizations on serial and parallel platforms. A major goal of the library is to provide support for adaptive mesh refinement (AMR) computations in parallel while allowing a research scientist to focus on the physics they are modeling. Description Source:https://libmesh.github.io/,https://libmesh.github.io/,https://mooseframework.inl.gov/docs/doxygen/libmesh/index.html,https://libmesh.github.io/examples.html,,,,
libnotify,ookami,,,,,"libnotify is a library for sending desktop notifications to a notification daemon, as defined in the org.freedesktop.Notifications Desktop Specification. These notifications can be used to inform the user about an event or display some form of information without getting in the user's way. Description Source:https://github.com/GNOME/libnotify",https://gitlab.gnome.org/GNOME/libnotify,https://gnome.pages.gitlab.gnome.org/libnotify/,https://rox.sourceforge.net/desktop/book/export/html/336.html,,,,
libnsl,"delta, faster",,,,,,,,,,,,
libogg,"aces, faster",,,,,"libogg is a multimedia container format, and the native file and stream format for the Xiph.org multimedia codecs. As with all Xiph.org technology is it an open format free for anyone to use. Description Source:https://www.xiph.org/ogg/",https://xiph.org/ogg/,https://xiph.org/ogg/doc/libogg/,"https://xiph.org/ogg/doc/oggstream.html , https://xiph.org/ogg/doc/framing.html , https://xiph.org/ogg/doc/ogg-multiplex.html , https://xiph.org/ogg/doc/skeleton.html , https://wiki.xiph.org/Ogg ",,,,
libopus,"aces, faster",,,,,"libopus is a totally open, royalty-free, highly versatile audio codec. Opus is unmatched for interactive speech and music transmission over the Internet, but is also intended for storage and streaming applications. It is standardized by the Internet Engineering Task Force (IETF) as RFC 6716 which incorporated technology from Skype’s SILK codec and Xiph.Org’s CELT codec. Description Source:https://opus-codec.org/",https://opus-codec.org/,https://opus-codec.org/docs/,"https://www.ti.com/lit/an/spma076/spma076.pdf , https://www.ti.com/lit/ug/tiduc16/tiduc16.pdf , https://opus-codec.org/presentations/ ",,,,
libpals,delta,,,,,,,,,,,,
libpciaccess,"aces, expanse, faster, kyric",,,,,libpciaccess is a generic PCI access library. Description Source:https://cgit.freedesktop.org/xorg/lib/libpciaccess,https://gitlab.freedesktop.org/xorg/lib/libpciaccess,https://github.com/projectceladon/libpciaccess/blob/master/include/pciaccess.h,https://www.x.org/wiki/PciReworkHowto/,,,,
libpng,"aces, anvil, expanse, faster, ookami",,,,,"libpng is the official PNG reference library. It supports almost all PNG features, is extensible, and has been extensively tested for over 28 years. Description Source:http://www.libpng.org/pub/png/libpng.html",http://www.libpng.org/pub/png/libpng.html,http://www.libpng.org/pub/png/libpng-1.4.0-manual.pdf,http://www.libpng.org/pub/png/book/chapter13.html,,,,
libpsl,"aces, faster",,,,,C library for the Public Suffix List,,,,,,,
libreadline,"aces, faster",,,,,"The GNU Readline library provides a set of functions for use by applications that allow users to edit command lines as they are typed in. Both Emacs and vi editing modes are available. The Readline library includes additional functions to maintain a list of previously-entered command lines, to recall and perhaps reedit those lines, and perform csh-like history expansion on previous commands. Description Source:https://tiswww.case.edu/php/chet/readline/rltop.html#Introduction",https://tiswww.case.edu/php/chet/readline/rltop.html,https://tiswww.case.edu/php/chet/readline/readline.html,"https://tiswww.case.edu/php/chet/readline/readline.html#Programming-with-GNU-Readline , https://thoughtbot.com/blog/tab-completion-in-gnu-readline",,,,
librom,"aces, faster",,,,,,,,,,,,
librs,darwin,,,,,,,,,,,,
librsvg,"aces, faster",,,,,"librsvg is a library to render SVG images to Cairo surfaces. GNOME uses this to render SVG icons. Outside of GNOME, other desktop environments use it for similar purposes. Wikimedia uses it for Wikipedia's SVG diagrams. Description Source:https://gitlab.gnome.org/GNOME/librsvg",https://wiki.gnome.org/Projects/LibRsvg,https://gnome.pages.gitlab.gnome.org/librsvg/Rsvg-2.0/index.html,https://gitlab.gnome.org/GNOME/librsvg/-/blob/main/examples/proportional.rs,,,,
librttopo,"aces, faster",,,,,The RT Topology Library exposes an API to create and manage standard (ISO 13249 aka SQL/MM) topologies using user-provided data stores.,,,,,,,
libsci,delta,,,,,,,,,,,,
libseccomp,kyric,,,,,"libseccomp is a library for implementing secure computing mode (seccomp) filters in Linux systems. It enables developers to apply fine-grained filtering on system calls, restricting the actions that processes can perform for improved system security.",https://github.com/seccomp/libseccomp,https://github.com/seccomp/libseccomp/tree/main/doc/man/man3,https://outflux.net/teach-seccomp/,,,,
libsigsegv,"faster, kyric",,,,,"libsigsegv is a library for handling segmentation fault signals in Unix-like systems. It provides a mechanism for detecting, handling, and recovering from segment violation errors during program execution.",https://www.gnu.org/software/libsigsegv/,https://docs.oracle.com/cd/E88353_01/html/E37842/sigsegv-3.html,https://github.com/roswell/libsigsegv/blob/master/src/sigsegv.h.in,,,,
libsm,delta,,,,,,,,,,,,
libsndfile,"aces, delta, faster",,,,,libsndfile is a C library for reading and writing files containing sampled sound (such as MS Windows WAV and the Apple/SGI AIFF format) through one standard library interface. Description Source:https://libsndfile.github.io/libsndfile/,https://libsndfile.github.io/libsndfile/,https://libsndfile.github.io/libsndfile/api.html,https://libsndfile.github.io/libsndfile/FAQ.html,,,,
libsodium,"aces, faster",,,,,"libsodium is a modern, easy-to-use software library for encryption, decryption, signatures, password hashing, and more. Description Source:https://doc.libsodium.org/",https://github.com/jedisct1/libsodium,https://libsodium.gitbook.io/doc,"https://libsodium.gitbook.io/doc/usage , https://libsodium.gitbook.io/doc/quickstart",,,,
libsoup,"aces, faster",,,,,"libsoup is an HTTP client/server library for GNOME. It uses GObjects and the glib main loop, to integrate well with GNOME applications, and also has a synchronous API, for use in threaded applications.",,,,,,,
libspatialindex,"aces, faster",,,,,"C++ implementation of R*-tree, an MVR-tree and a TPR-tree with C API",,,,,,,
libspatialite,"aces, faster",,,,,SpatiaLite is an open source library intended to extend the SQLite core to support fully fledged Spatial SQL capabilities.,,,,,,,
libssh,faster,,,,,,,,,,,,
libszip,anvil,,,,,"libzip is a C library for reading, creating, and modifying zip archives. Files can be added from data buffers, files, or compressed data copied directly from other zip archives. Changes made without closing the archive can be reverted. Description Source:https://libzip.org/",,,,,,,
libtasn1,"aces, faster",,,,,"Libtasn1 is the ASN.1 library used by GnuTLS, GNU Shishi and some other packages. It was written by Fabio Fiorina, and has been shipped as part of GnuTLS for some time but is now a proper GNU package.",,,,,,,
libtiff,"aces, anvil, faster",,,,,"The LibTIFF software provides support for the Tag Image File Format (TIFF), a widely used format for storing image data. Description Source:http://www.simplesystems.org/libtiff/",https://gitlab.com/libtiff/libtiff,https://libtiff.gitlab.io/libtiff/,https://libtiff.gitlab.io/libtiff/tools.html,,,,
libtirpc,"aces, delta, expanse, faster",,,,,"The libtirpc package contains libraries that support programs that use the Remote Procedure Call (RPC) API. It replaces the RPC, but not the NIS library entries that used to be in glibc. Description Source:https://www.linuxfromscratch.org/blfs/view/stable/basicnet/libtirpc.html",https://github.com/alisw/libtirpc,https://manpages.debian.org/jessie/libtirpc-dev/index.html,"https://manpages.debian.org/jessie/libtirpc-dev/rpc.3t.en.html , https://www.ibm.com/docs/en/i/7.5?topic=ustrdda-examples-developing-service-applications-based-ti-rpc-code ",,,,
libtool,"aces, faster, kyric",,,,,"GNU Libtool is a generic library support script that hides the complexity of using shared libraries behind a consistent, portable interface. Description Source:https://www.gnu.org/software/libtool/",https://www.gnu.org/software/libtool/,https://www.gnu.org/software/libtool/manual/libtool.html,"https://www.gnu.org/software/libtool/manual/html_node/Using-libtool.html , https://www.gnu.org/software/libtool/manual/html_node/Libtool-test-suite.html , https://www.gnu.org/software/libtool/manual/html_node/Cheap-tricks.html ",,,,
libunistring,"aces, expanse, faster, kyric",,,,,"libunistring is a library that provides functions for manipulating Unicode strings and characters, offering support for various Unicode operations and text processing tasks. It enables developers to work with Unicode data in a portable and efficient manner.",https://www.gnu.org/software/libunistring/,https://www.gnu.org/software/libunistring/manual/libunistring.html,"https://www.gnu.org/software/libunistring/manual/libunistring.html#Using-the-library , https://github.com/gnosis/libunistring/blob/master/doc/unistr.texi ",,,,
libunwind,"aces, expanse, faster, ookami",,,,,libunwind is a portable and efficient C API for determining the current call chain of ELF program threads of execution and for resuming execution at any point in that call chain. The API supports both local (same process) and remote (other process) operation. Description Source:https://github.com/libunwind/libunwind,https://www.nongnu.org/libunwind/,https://www.nongnu.org/libunwind/docs.html,"https://github.com/cslarsen/libunwind-examples , https://github.com/daniel-thompson/libunwind-examples , https://eli.thegreenplace.net/2015/programmatic-access-to-the-call-stack-in-c/ ",,,,
libv8,anvil,,,,,libv8 is a gem for distributing the v8 runtime libraries and headers in both source and binary form. Description Source:https://github.com/rubyjs/libv8,https://github.com/rubyjs/libv8,https://www.rubydoc.info/gems/libv8/5.9.211.38.0/Libv8,,,,,
libvorbis,"aces, faster",,,,,"libvorbis is a fully open, non-proprietary, patent-and-royalty-free, general-purpose compressed audio format for mid to high quality (8kHz-48.0kHz, 16+ bit, polyphonic) audio and music at fixed and variable bitrates from 16 to 128 kbps/channel. Description Source:https://xiph.org/vorbis/",https://gitlab.xiph.org/xiph/vorbis,https://xiph.org/vorbis/doc/libvorbis/reference.html,"https://xiph.org/vorbis/doc/libvorbis/overview.html , https://gitlab.xiph.org/xiph/vorbis/-/tree/master/examples ",,,,
libvori,"aces, faster",,,,,libvori enables Voronoi integration of the electron density and support for compressed bqb file format in CP2k. Description Source:https://brehm-research.de/libvori.php,https://brehm-research.de/libvori.php,https://github.com/cp2k/cp2k/blob/master/INSTALL.md#2u-libvori-voronoi-integration-for-electrostatic-properties-from-electron-density,,,,,
libwebp,"aces, faster",,,,,"libwebp codec is a library to encode and decode images in WebP format. This package contains the library that can be used in other programs to add WebP support, as well as the command line tools ‘cwebp’ and ‘dwebp’ to compress and decompress images respectively. Description Source:https://chromium.googlesource.com/webm/libwebp",https://github.com/webmproject/libwebp/tree/main,https://github.com/webmproject/libwebp/blob/main/doc/api.md,https://github.com/webmproject/libwebp/tree/main/examples,,,,
libwpe,"aces, faster",,,,,"WPE is the reference WebKit port for embedded and low-consumption computer devices. It has been designed from the ground-up with performance, small footprint, accelerated content rendering, and simplicity of deployment in mind, bringing the excellence of the WebKit engine to countless platforms and target devices.",,,,,,,
libx11,"anvil, delta",,,,,libx11 is the X11 protocol client library. Description Source:https://gitlab.freedesktop.org/xorg/lib/libx11,https://gitlab.freedesktop.org/xorg/lib/libx11,https://www.x.org/releases/current/doc/libX11/libX11/libX11.html,"https://tronche.com/gui/x/xlib/ , https://en.wikibooks.org/wiki/X_Window_Programming/Xlib ",,,,
libxau,delta,,,,,,,,,,,,
libxc,"aces, expanse, faster, ookami",,,,,"libxc is a library of exchange-correlation and kinetic energy functionals for density-functional theory. The original aim was to provide a portable, well tested and reliable set of these functionals to be used by all the codes of the European Theoretical Spectroscopy Facility (ETSF), but the library has since grown to be used in several other types of codes as well; see below for a partial list. Description Source:https://www.tddft.org/programs/libxc/",https://gitlab.com/libxc/libxc,https://libxc.gitlab.io/manual/libxc-5.1.x/,"https://gitlab.com/libxc/libxc/-/blob/devel/examples/basic.c , https://gitlab.com/libxc/libxc/-/blob/devel/examples/get_refs.c ",,,,
libxcb,delta,,,,,"The X protocol C-language Binding (libXCB) is a replacement for Xlib featuring a small footprint, latency hiding, direct access to the protocol, improved threading support, and extensibility. Description Source:https://xcb.freedesktop.org/",https://xcb.freedesktop.org/,https://xcb.freedesktop.org/PublicApi/,"https://xcb.freedesktop.org/tutorial/ , https://xcb.freedesktop.org/XcbNotes/  , https://www.x.org/releases/X11R7.7/doc/libxcb/tutorial/index.html ",,,,
libxdmcp,delta,,,,,,,,,,,,
libxml2,"aces, anvil, faster, kyric",,,,,"libxml2 is an XML toolkit implemented in C, originally developed for the GNOME Project. Description Source:https://gitlab.gnome.org/GNOME/libxml2/-/blob/master/README.md?ref_type=heads",https://gitlab.gnome.org/GNOME/libxml2/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxml2/devhelp/general.html,"https://gitlab.gnome.org/GNOME/libxml2/-/wikis/Tutorial , https://gitlab.gnome.org/GNOME/libxml2/-/tree/master/example ",,,,
libxscrnsaver,anvil,,,,,,,,,,,,
libxslt,"aces, anvil, faster",,,,,libxslt is the XSLT C library developed for the GNOME project. XSLT itself is a an XML language to define transformation for XML. Libxslt is based on libxml2 the XML C library developed for the GNOME project. Description Source:http://xmlsoft.org/libxslt/index.html,https://gitlab.gnome.org/GNOME/libxslt/-/wikis/home,https://gnome.pages.gitlab.gnome.org/libxslt/devhelp/general.html,"https://gnome.pages.gitlab.gnome.org/libxslt/tutorial/libxslttutorial.html , https://gnome.pages.gitlab.gnome.org/libxslt/tutorial2/libxslt_pipes.html ",,,,
libxsmm,"aces, faster",,,,,"libxsmm is a library for specialized dense and sparse matrix operations as well as for deep learning primitives such as small convolutions. The library is targeting Intel Architecture with Intel SSE, Intel AVX, Intel AVX2, Intel AVX‑512 (with VNNI and Bfloat16), and Intel AMX (Advanced Matrix Extensions) supported by future Intel processor code-named Sapphire Rapids. Description Source:https://github.com/libxsmm/libxsmm",https://github.com/libxsmm/libxsmm,https://libxsmm.readthedocs.io/en/latest/,"https://libxsmm.readthedocs.io/en/latest/libxsmm_samples/ , https://github.com/libxsmm/libxsmm/tree/main/samples/magazine ",,,,
libxt,delta,,,,,,,,,,,,
libyaml,"aces, faster",,,,,LibYAML is a YAML parser and emitter library. Description Source:https://pyyaml.org/wiki/LibYAML,https://github.com/yaml/libyaml,https://pyyaml.org/wiki/LibYAML,"https://github.com/yaml/libyaml/tree/master/tests , https://github.com/yaml/libyaml/tree/master/examples ",,,,
libzip,"aces, faster",,,,,"libzip is a C library for reading, creating, and modifying zip archives.",,,,,,,
lifelines,aces,,,,,"lifelines is a complete survival analysis library, written in pure Python. Description Source:https://lifelines.readthedocs.io/en/latest/#",https://github.com/CamDavidsonPilon/lifelines,https://lifelines.readthedocs.io/en/stable/,"https://lifelines.readthedocs.io/en/stable/ , https://lifelines.readthedocs.io/en/stable/Examples.html , https://github.com/CamDavidsonPilon/lifelines/tree/master/examples ",,,,
liftoff,anvil,,,,,Liftoff is an accurate GFF3/GTF lift over pipeline.,,,,,,,
liftofftools,anvil,,,,,LiftoffTools is a toolkit to compare genes lifted between genome assemblies.,,,,,,,
likwid,"faster, kyric, ookami",,,,,"LIKWID stands for “Like I Knew What I’m Doing.” It is an easy to use yet powerful command line performance tool suite for the GNU/Linux operating system. While  LIKWID supported only x86 processors at the beginning, it has been ported to ARM (including Fujitsu A64FX)  and POWER8/9 architectures as well as to NVIDIA  and AMD GPGPUs. Some of its tools are even architecture agnostic. Description Source:https://hpc.fau.de/research/tools/likwid/",https://hpc.fau.de/research/tools/likwid/,https://github.com/RRZE-HPC/likwid/wiki,"https://github.com/RRZE-HPC/likwid/wiki/TutorialStart , https://www.youtube.com/playlist?list=PLxVedhmuwLq2CqJpAABDMbZG8Whi7pKsk , https://github.com/RRZE-HPC/likwid#usage-examples , https://github.com/RRZE-HPC/likwid/tree/master/examples",,,,
lima,anvil,,,,,Lima is the standard tool to identify barcode and primer sequences in PacBio single-molecule sequencing data.,,,,,,,
linaro,ookami,,,,,,https://www.linaroforge.com/,https://docs.linaroforge.com/23.1.2/html/forge/index.html,"https://docs.linaroforge.com/23.1.2/html/forge/worked_examples_appendix/mmult/index.html , https://www.stonybrook.edu/commcms/ookami/support/faq/_docs/Linaro-Ookami.pdf ",,,,
links,anvil,,,,,"LINKS is a genomics application for scaffolding genome assemblies with long reads, such as those produced by Oxford Nanopore Technologies Ltd.",,,,,,,
lis,faster,,,,,,,,,,,,
littlecms,"aces, faster",,,,,"Little CMS intends to be an OPEN SOURCE small-footprint color management engine, with special focus on accuracy and performance. It uses the International Color Consortium standard (ICC), which is the modern standard when regarding to color management. Description Source:https://github.com/mm2/Little-CMS",https://www.littlecms.com/,https://www.littlecms.com/LittleCMS2.16%20API.pdf,"https://www.littlecms.com/LittleCMS2.16%20tutorial.pdf , https://www.littlecms.com/LittleCMS2.16%20Plugin%20API.pdf ",,,,
