Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
maturin,Aces,Build System,Development Tools,Computer & Information Sciences,,,"This project is meant as a zero configuration replacement for setuptools-rust and milksnake. It supports building wheels for python 3.5+ on windows, linux, mac and freebsd, can upload them to pypi and has basic pypy and graalpy support.","Facilitates Building Python Packages With Rust Extensions, Enables Creation Of Python Wheels For Packages With Rust Code, Simplifies Distribution & Packaging Process For Hybrid Rust-Python Projects","Python Packaging, Rust Programming Language, Build System, Python Extensions, Package Distribution",,,,Aces: https://hprc.tamu.edu/software/aces/,"Aces: 1.1.0, 1.4.0-Rust-1.75.0","Maturin is a Rust-native build system for Python packages that allows users to create wheels for their Python packages written in Rust. It aims to simplify the process of packaging and distributing Python extensions written in Rust, providing a seamless integration between Rust and Python ecosystems.",
mauve,"Anvil, Faster",Bioinformatics Software,Analysis Tool,Biological Sciences,Genome Analysis,Genomics,Mauve is a system for constructing multiple genome alignments in the presence of large-scale evolutionary events such as rearrangement and inversion,"Mauve offers an interactive visualization tool for comparing multiple genomes, identifying large-scale genome rearrangements, and highlighting areas of conservation or variation. It can align draft genomes and has the ability to handle incomplete or noisy data.","Computational Biology, Bioinformatics, Genome Alignment",,,,"Anvil: https://www.rcac.purdue.edu/software/mauve 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.4.0
Faster: 2015.02.13-Linux-X64-Java-1.8",Mauve is a computational tool used for multiple genome alignment. It is specifically designed for aligning and analyzing genomes with an emphasis on rearrangements.,
maven,"Aces, Faster",Development Tool,Build Automation Tool,Computer & Information Sciences,,,"Apache Maven is a software project management and comprehension tool. Based on the concept of a project object model (POM), Maven can manage a project's build, reporting and documentation from a central piece of information. 
Description Source: https://maven.apache.org/","Dependency Management, Build Automation, Project Reporting, Plugin Management, Reusable Build Logic","Build Automation, Dependency Management, Java Projects",https://maven.apache.org/,https://maven.apache.org/guides/index.html,"https://maven.apache.org/guides/getting-started/maven-in-five-minutes.html 
https://maven.apache.org/guides/getting-started/index.html 
https://www.baeldung.com/maven 
https://www.tutorialspoint.com/maven/index.htm","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.9.6
Faster: 3.6.3","Apache Maven is a build automation tool used primarily for Java projects. It manages project dependencies and provides a standardized way to build, test, and deploy Java software projects.",
maxbin2,Anvil,,,,,,Maxbin2 is a software for binning assembled metagenomic sequences based on an Expectation-Maximization algorithm.,"1. Binning of assembled metagenomic sequences to represent individual genomes in microbial communities.
2. High accuracy binning using Expectation-Maximization algorithm.
3. Ability to handle large dataset sizes efficiently.
4. Provides visualization tools for analyzing binning results.
5. Compatible with various sequencing technologies and assembly tools.","Metagenomics, Microbiome, Bioinformatics, Genomics",,,,Anvil: https://www.rcac.purdue.edu/software/maxbin2,Anvil: 2.2.7,MaxBin2 is a software tool for binning assembled metagenomic sequences based on an Expectation-Maximization algorithm. It assigns contigs to discrete bins representing individual genomes in a microbial community.,
maxquant,Anvil,Data Analysis,Tools,Biological Sciences,Proteomics,Bioinformatics,Maxquant is a quantitative proteomics software package designed for analyzing large mass-spectrometric data sets. It is specifically aimed at high-resolution MS data.,"Quantitative Proteomics Analysis, Label-Free & Stable Isotope-Labeled Protein Quantification, Identification Of Peptides & Proteins","Proteomics, Mass Spectrometry, Data Analysis, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/maxquant,"Anvil: 2.1.0.0, 2.1.3.0, 2.1.4.0, 2.3.1.0","MaxQuant is a quantitative proteomics software package designed for analyzing large mass spectrometric data sets. It is used for label-free and stable isotope-labeled protein quantification, as well as identification of peptides and proteins.",
mbuffer,Faster,,,Computer & Information Sciences,,,,"1. High-speed buffering of data streams
2. Optimization of data transfer rate
3. Support for reading from and writing to various sources
4. Efficient I/O performance","Data Streams, Buffering, Data Transfer, Optimization",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 20210328,mbuffer is a tool for buffering data streams that offers high-speed I/O performance and better throughput. It provides an efficient way to read and write data to and from various sources while optimizing the data transfer rate.,
mc,Bridges-2,Compiler,Development Tools,Computer & Information Sciences,,,Midnight Commander (also known as mc) is a free cross-platform orthodox file manager and a clone of Norton Commander.,"Optimized Code Generation, Support For Various Platforms & Operating Systems, Compilation & Execution Of C Code, Interactive Interpreter Mode, Extensive Standard Libraries, Debugging Capabilities","Compiler, Interpreter, C, Software Development",,,,Bridges-2: https://www.psc.edu/resources/software/mc,Bridges-2: 4.8.26,MC is a popular C compiler and interpreter that is widely used for developing efficient and portable software.,
mccortex,Faster,Bioinformatics Software,Genome Assembler,Biological Sciences,,,,"Genome Assembly, De Bruijn Graph Data Structure, Efficient Algorithms, Sequence Analysis","Genomics, Bioinformatics, Computational Biology, Sequence Analysis",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.0.1,Mccortex is a software tool for assembling genomes quickly and efficiently by leveraging the compacted de Bruijn graph data structure.,
mcl,"Anvil, Faster",Clustering Algorithm,Algorithm,Computer & Information Sciences,,,"Mcl is short for the Markov Cluster Algorithm, a fast and scalable unsupervised cluster algorithm for graphs","1. Efficient clustering of network data
2. Scalable to large networks
3. Ability to identify dense regions in graphs
4. Parameterizable for different types of networks
5. Implementation available in various programming languages","Clustering, Network Analysis, Graph Algorithms",,,,"Anvil: https://www.rcac.purdue.edu/software/mcl 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 14.137-Pl5262
Faster: 14.137",MCL (Markov Cluster Algorithm) is a clustering algorithm based on simulation of stochastic flow in graphs. It is commonly used for clustering network data to identify modules or communities of nodes with related functions or properties.,
mcoutbryk,Faster,Research Tool,Simulation Software,Other Natural Sciences,Chemical Sciences,Physical Sciences,,"The core features of mcoutbryk include the ability to perform Monte Carlo simulations of chemical systems, analyze molecular structures and properties, calculate thermodynamic properties, and visualize simulation results.","Monte Carlo Simulations, Computational Chemistry, Simulation Software",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2018.06.10,mcoutbryk is a simulation software designed for Monte Carlo simulations in the field of computational chemistry. It aims to provide researchers and scientists with a tool for performing accurate and efficient simulations of chemical systems using Monte Carlo methods.,
mcr,Darwin,Numerical Simulation Software,Scientific Computing,Mathematics,,,,"mcr offers a wide range of numerical methods and algorithms for solving differential equations, linear algebra problems, optimization tasks, and statistical analysis. It supports parallel computing and distributed computing for efficient processing of large-scale simulations. Additionally, mcr provides visualization tools for data analysis and result interpretation.","Computational Software, Numerical Simulation, High-Performance Computing",https://www.mathworks.com/products/compiler/matlab-runtime.html,https://www.mathworks.com/help/compiler/matlab-runtime.html,"https://www.mathworks.com/help/compiler/getting-started-with-matlab-compiler.html 
https://www.mathworks.com/help/compiler/examples.html",,,"mcr is a computational software used for solving complex mathematical problems and conducting numerical simulations. It provides a high-performance computing environment for researchers and scientists to analyze, model, and solve mathematical equations and algorithms.",
mcscanx,Anvil,Tool,Bioinformatics,Biological Sciences,,,"MCScanX can be used to effectively analyze chromosome structural changes, and reveal the history of gene family expansions that might contribute to the adaptation of lineages and taxa.","1. Detection of collinear gene pairs in multiple genomes or subgenomes
2. Inference of syntenic relationships among genes
3. Visualization of gene synteny and evolutionary relationships
4. Identification of gene duplication and divergence events","Gene Synteny, Genomic Analysis, Syntenic Relationships",,,,Anvil: https://www.rcac.purdue.edu/software/mcscanx,Anvil: Default,"MCScanX is a toolkit specifically designed for detecting collinear gene pairs within multiple genomes or subgenomes and inferring the syntenic relationships among them. It allows for the analysis of gene synteny and evolutionary relationships, aiding in understanding gene duplication and divergence events.",
mdspan,Stampede3,Data Structure,Library,Computer & Information Sciences,,,,"Compile-Time Fixed-Size Multidimensional Arrays, High-Performance Operations, Efficient Memory Layout & Access Patterns","C++ Library, Multidimensional Array, Data Structure, High-Performance Computing",,,,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,,mdspan is a C++ library that provides a multidimensional array data structure with a fixed size at compile time. It offers a high-performance alternative to traditional dynamically allocated multidimensional arrays.,
mdtest,Delta,Tool,Benchmarking Tool,Computer & Information Sciences,,,,"1. Measures metadata performance of parallel file systems. 2. Includes tests for file creates, stat operations, and directory operations.","Benchmarking, File System, Metadata",,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: 1.9.3,"MDTest is a file system metadata benchmark that includes tests to measure metadata operations, such as file creates, stat operations, and directory operations. It is often used to assess the metadata performance of parallel file systems.",
medaka,"Anvil, Faster",Ngs Data Analysis Tool,Bioinformatics Tool,Biological Sciences,,,Medaka is a tool to create consensus sequences and variant calls from nanopore sequencing data.,"Real-time nanopore consensus sequence calling, High-accuracy consensus sequence generation, Utilizes neural network basecaller for improved accuracy","Bioinformatics, Ngs Data Analysis, Nanopore Sequencing, Consensus Sequence Calling",,,,"Anvil: https://www.rcac.purdue.edu/software/medaka 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 1.6.0
Faster: 1.1.3-Python-3.7.4",Medaka is a tool for nanopore consensus sequence calling in real-time. It is designed to provide a high-accuracy consensus sequence for a given set of nanopore reads.,
meep,Anvil,Computational Software,Simulation,Physical Sciences,Condensed Matter Physics,Physical Sciences,"Meep is a free and open-source software package for electromagnetics simulation via the finite-difference time-domain (FDTD) method spanning a broad range of applications. 
Description Source: https://meep.readthedocs.io/en/latest/","Some core features of Meep include simulating electromagnetic fields in periodic and non-periodic environments, calculating transmission and reflection of structures, supporting various boundary conditions such as PML (perfectly matched layers), and analyzing photonic crystals and waveguides.","Simulation, Electromagnetics, Fdtd",https://meep.readthedocs.io/en/stable/,https://meep.readthedocs.io/en/stable/Python_User_Interface/,"https://meep.readthedocs.io/en/stable/Introduction/ 
https://meep.readthedocs.io/en/stable/Python_Tutorials/Basics/ ",Anvil: https://www.rcac.purdue.edu/software/meep,Anvil: 1.20.0,Meep (or MIT Electromagnetic Equation Propagation) is a free finite-difference time-domain (FDTD) simulation software package developed at MIT to model electromagnetic systems.,
megadepth,Anvil,Analysis Tool,Bioinformatics,Biological Sciences,Epigenetics,Genetics,Megadepth is an efficient tool for extracting coverage related information from RNA and DNA-seq BAM and BigWig files.,"Quantification Of Sequencing Data From Bisulfite-Treated DNA, Accurate Measurement Of DNA Methylation Levels, Analysis & Visualization Of Methylation Data","Bioinformatics, Sequencing Data Analysis, DNA Methylation Analysis, Computational Biology",,,,Anvil: https://www.rcac.purdue.edu/software/megadepth,Anvil: 1.2.0,Megadepth is a software tool designed for precise and efficient quantification of sequencing data from bisulfite-treated DNA. It allows for accurate measurement of DNA methylation levels and offers various features for analyzing and visualizing methylation data.,
megahit,"Anvil, Faster",Assembly Software,Metagenome Assembly Tool,Biological Sciences,Metagenomics,Bioinformatics,Megahit is a ultra-fast single-node solution for large and complex metagenomics assembly via succinct de Bruijn graph.,"Efficient Metagenome Assembly, Snp-Aware Assembly, Ultra-Fast Performance, High-Quality Draft Assemblies","Metagenome Assembly, Bioinformatics, Sequencing Data, Snp-Aware, Draft Assemblies",,,,"Anvil: https://www.rcac.purdue.edu/software/megahit 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 1.2.9
Faster: 1.2.9","MEGAHIT is a highly efficient and ultra-fast single-nucleotide polymorphism (SNP)-aware metagenome assembly software tool. It is designed for the assembly of metagenomic sequencing data, providing users with high-quality draft assemblies.",
megan,Anvil,Bioinformatics Tool,Analysis Tool,Biological Sciences,Bioinformatics,,Megan is a computer program that allows optimized analysis of large metagenomic datasets. Metagenomics is the analysis of the genomic sequences from a usually uncultured environmental sample.,"1. Taxonomic analysis and visualization of metagenomic data. 2. Functional analysis of microbial communities. 3. Comparative analysis of multiple samples. 4. Supports integration of various sequencing technologies, such as Illumina, Ion Torrent, and PacBio. 5. User-friendly interface for interactive exploration of results.","Metagenomics, Microbiome, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/megan,Anvil: 6.21.7,MEGAN (MEtaGenome ANalyzer) is a comprehensive software package for analyzing large metagenomic data sets. It is designed to facilitate the exploration and taxonomic analysis of complex microbiomes.,
meme,Anvil,Sequence Analysis Tool,Computational Biology Tool,Biological Sciences,Genetics,Bioinformatics,Meme is a collection of tools for the discovery and analysis of sequence motifs. Contents.,"Motif Discovery, Sequence Analysis, Statistical Modeling, Pattern Recognition","Bioinformatics, Sequence Analysis, Motif Discovery, Biological Data Analysis",,,,Anvil: https://www.rcac.purdue.edu/software/meme,"Anvil: 5.3.3, 5.4.1, 5.5.0",The Multiple Em for Motif Elicitation (MEME) software is used for discovering motifs in a group of related DNA or protein sequences.,
meme-suite,Bridges-2,,,,,,"MEME discovers novel, ungapped motifs (recurring, fixed-length patterns) in your sequences (sample output from sequences). MEME splits variable-length patterns into two or more separate motifs. See this Manual for more information. 
Description Source: https://meme-suite.org/meme/tools/meme",,,https://meme-suite.org/meme/,https://meme-suite.org/meme/doc/overview.html,"https://meme-suite.org/meme/doc/meme.html#sp_search 
https://meme-suite.org/meme/doc/ame-tutorial.html?man_type=web",Bridges-2: https://www.psc.edu/resources/software/meme-suite,Bridges-2: 5.4.1,,
memes,Anvil,,,,,,"An R interface to the MEME Suite family of tools, which provides several utilities for performing motif analysis on DNA, RNA, and protein sequences. memes works by detecting a local install of the MEME suite, running the commands, then importing the results directly into R. 
Description Source: https://github.com/snystrom/memes",,,https://github.com/snystrom/memes,https://snystrom.github.io/memes-manual/reference/index.html,https://snystrom.github.io/memes-manual/index.html#quick-examples ,Anvil: https://www.rcac.purdue.edu/software/memes,Anvil: 1.1.2,,
memoryviewer,Aces,Development Tool,Software Tool,Computer & Information Sciences,,,"MemoryViewer software gives system administrators comprehensive insight into the physical memory topology as well as the application memory utilization. 
Description Source: https://memverge.com/memoryviewer/","Memory Tracking, Memory Visualization, Memory Analysis, Memory Optimization","Memory Management, Software Development, Performance Analysis",https://memverge.com/memoryviewer/,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf,https://memverge.com/wp-content/uploads/2022/08/QuickStartGuide_MemoryViewer_R1b.pdf,Aces: https://hprc.tamu.edu/software/aces/,Aces: 1.0,"MemoryViewer is a software tool used for analyzing and visualizing memory usage and data structures within computer programs. It allows users to track memory allocation, deallocation, and usage patterns to optimize memory management.",
mentorgraphics,Bridges-2,,,,,,"The MentorGraphics/tessent.2022.1 modulefile provides Mentor Graphics Tessent 2022.1. Design augmentation and linked applications that detect, mitigate and eliminate risks throughout the IC lifecycle,  helping customers address their debug, test, yield, safety, security, and optimization requirements for todayâs most complex SoCs.",,,,,,Bridges-2: https://www.psc.edu/resources/software/mentorgraphics,Bridges-2: Tessent.2022.1,,
meraculous,Anvil,Computational Biology/Genomics Tool,Genome Assembler,Biological Sciences,,,"Meraculous is a whole genome assembler for Next Generation Sequencing data, geared for large genomes.","Specifically Optimized For Large & Complex Genomes, Utilizes High-Throughput Sequencing Data For Genome Assembly, Focuses On Accurate Reconstruction Of Genome Structure & Gene Content","Genome Assembly, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/meraculous,Anvil: 2.2.6,Meraculous is a whole-genome shotgun assembler specifically designed for large and complex genomes. It aims to accurately reconstruct the genome structure and gene content using high-throughput sequencing data.,
mercurial,"Aces, Expanse, Ookami",Development Tools,Version Control System,Computer & Information Sciences,,,"Mercurial is a free, distributed source control management tool. It efficiently handles projects of any size and offers an easy and intuitive interface. 
Description Source: https://www.mercurial-scm.org/","Mercurial provides distributed revision control, fast operations, built-in merge algorithms, efficient handling of binary files, extensibility via Python scripts, and support for multiple workflows.","Version Control, Software Development",https://www.mercurial-scm.org/,https://book.mercurial-scm.org/read/,https://wiki.mercurial-scm.org/Tutorial,"Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 6.4.5
Expanse: Qmgrjvl, Sgok5Dz","Mercurial is a free, distributed source control management tool. It efficiently handles projects of any size and offers an intuitive interface.",
merqury,Anvil,Bioinformatics,Computational Tool,Biological Sciences,Genomics,Biological Sciences,Merqury is a tool to evaluate genome assemblies with k-mers and more.,"1. Quantification of mappable k-mers
2. Addressing repeat resolution in noisy long-read assemblies
3. Handling high error rates
4. Analysis of repetitive regions in genomes","Computational Tool, Genomics, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/merqury,Anvil: 1.3,"Merqury is a computational tool designed for efficient and accurate quantification of mappable k-mers in noisy long-read assemblies, with a focus on repeat resolution in the presence of high error rates.",
meryl,Anvil,Bioinformatics Tool,Utility Tool,Biological Sciences,Genomics,Bioinformatics,Meryl is a genomic k-mer counter (and sequence utility) with nice features.,"1. Efficient k-mer counting
2. Analysis of genomic data
3. Scalable for large datasets
4. Insight generation for genome characteristics","Bioinformatics, Genomics, K-Mer Counting",,,,Anvil: https://www.rcac.purdue.edu/software/meryl,Anvil: 1.3,Meryl is a software tool for k-mer counting and analysis in bioinformatics applications. It efficiently handles large-scale genomic data to provide insights into genome characteristics.,
mesa,"Aces, Faster",Framework,Modeling & Simulation,Computer & Information Sciences,"Software Engineering, Systems, & Development",Other Computer & Information Sciences,"The Mesa project began as an open-source implementation of the OpenGL specification - a system for rendering interactive 3D graphics. Over the years the project has grown to implement more graphics APIs, including OpenGL ES, OpenCL, OpenMAX, VDPAU, VA-API, Vulkan and EGL. 
Description Source: https://docs.mesa3d.org/index.html","Key features of Mesa include the ability to create and simulate agent-based models, support for multiple types of agents and environments, visualization tools for model output, and the flexibility to customize and extend the framework through Python programming.","Agent-Based Modeling, Complex Systems, Simulation, Computational Modeling",https://www.mesa3d.org/,https://docs.mesa3d.org/,https://gitlab.freedesktop.org/mesa/demos,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 21.1.1, 21.1.7, 22.0.3, 22.2.4-Llvm-14.0.6, 22.2.4, 23.1.4
Faster: 19.1.7, 20.0.2, 20.2.1, 21.1.1, 21.1.7, 22.0.3, 22.2.4-Llvm-14.0.6, 22.2.4, 23.1.4",Mesa is an open-source agent-based modeling framework that allows users to create and analyze computational models of complex adaptive systems.,
mesa-glu,Anvil,Library,Rendering & Graphics,Computer & Information Sciences,,,,"Some core features of mesa-glu include: offering higher-level functionality than the base OpenGL API, supporting various complex geometric, tessellation, and matrix operations, providing tessellation and NURBS rendering, handling mipmapping and texture mapping functionalities, offering error checking and debugging tools, and creating geometric primitives.","Graphics, 3D Graphics, Opengl, Graphics Library",,,,Anvil: https://www.rcac.purdue.edu/software/mesa-glu,Anvil: 9.0.2,"mesa-gl is an open-source implementation of the OpenGL specification, a system for rendering interactive 3D graphics, and a widely used and versatile graphics library. mesa-glu is the OpenGL Utility Library (GLU) component of Mesa, providing useful functions for building OpenGL applications.",
meson,"Aces, Darwin, Expanse, Faster",Compiler,Build System,Computer & Information Sciences,,,"Meson is an open source build system meant to be both extremely fast, and, even more importantly, as user friendly as possible. 
Description Source: https://mesonbuild.com/","Cross-compilation support, automatic dependency management, integrated testing framework, easy-to-read syntax","Build System, Software Development, Automation",https://mesonbuild.com/,https://mesonbuild.com/Manual.html,"https://mesonbuild.com/SimpleStart.html 
https://mesonbuild.com/Quick-guide.html 
https://mesonbuild.com/Tutorial.html 
https://mesonbuild.com/Meson-sample.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.55.3, 0.58.0, 0.58.2, 0.62.1, 0.64.0, 1.1.1, 1.2.3
Expanse: Ljauepv, Yjyazzn
Faster: 0.55.1-Python-3.8.2, 0.55.3, 0.58.0, 0.58.2, 0.59.1-Python-3.7.4, 0.62.1, 0.64.0, 1.1.1",Meson is an open-source build system meant to be both extremely fast and as user-friendly as possible.,
meson-python,"Aces, Faster",Build System,Development Tools,Computer & Information Sciences,,,Python build backend (PEP 517) for Meson projects,"Meson is optimized for simplicity and ease of use without sacrificing functionality. It supports multiple languages, cross-compilation, and out-of-source builds. Meson is also highly customizable and extensible through plugins.","Build System, Automation, Software Development",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.13.2, 0.15.0
Faster: 0.13.2",Meson is a high-productivity build system. It provides a simple syntax for describing how your project is build and a wide range of options to control the build process.,
metabat,Anvil,Bioinformatics Tool,Metagenomics Tool,Biological Sciences,,,Metabat is a robust statistical framework for reconstructing genomes from metagenomic data,"Metagenomic Binning, Single Genome Reconstruction, Utilizes A Mixture Model, Binning Contigs Based On Species Origin","Metagenomics, Microbial Communities, Genome Reconstruction",,,,Anvil: https://www.rcac.purdue.edu/software/metabat,Anvil: 2.15-5,MetaBAT is a software tool for reconstructing single genomes from complex microbial communities for metagenomics analysis. It utilizes a mixture model to leverage the differential abundance of unique sequences to bin contigs according to their species origin.,
metachip,Anvil,Bioinformatics Tool,Data Analysis & Visualization,Biological Sciences,Microbial Ecology,Ecology,Metachip is a pipeline for Horizontal gene transfer (HGT) identification.,"Taxonomic Classification Of Microbial Communities, Functional Annotation Of Metagenomic Data, Comparative Analysis Of Microbial Diversity, Visualization Of Metagenomic Sequencing Results","Bioinformatics, Metagenomics, High-Throughput Sequencing, Microbiome Analysis",,,,Anvil: https://www.rcac.purdue.edu/software/metachip,Anvil: 1.10.12,"Metachip is a computational software tool designed for the analysis, visualization, and interpretation of high-throughput sequencing data from metagenomic studies. It allows researchers to perform taxonomic classification, functional annotation, and comparative analysis of microbial communities present in environmental samples.",
metaphlan,Anvil,Tool,Bioinformatics,Biological Sciences,Microbial Ecology,Environmental Biology,"Metaphlan is computational tool for profiling the composition of microbial communities (Bacteria, Archaea and Eukaryotes) from metagenomic shotgun sequencing data (i.e. not 16S) with species-level.","Microbial Community Profiling, Metagenomic Shotgun Sequencing Data Analysis, Clade-Specific Marker Genes, Taxonomic Abundance Quantification","Metagenomics, Microbiome, Microbial Ecology, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/metaphlan,"Anvil: 3.0.9, 3.0.14, 4.0.2",MetaPhlAn is a computational tool for profiling the composition of microbial communities from metagenomic shotgun sequencing data. It relies on unique clade-specific marker genes to identify and quantify the presence of microbial species in a sample.,
metaseq,Anvil,Library,Data Analysis,Biological Sciences,Transcriptomics,Bioinformatics,Metaseq is a Python package for integrative genome-wide analysis reveals relationships between chromatin insulators and associated nuclear mRNA.,"RNA-Seq Data Analysis, Differential Gene Expression Analysis, Visualization Of Gene Expression Results, Functional Enrichment Analysis, Sample Clustering, Pathway Analysis","RNA-Seq, Data Analysis, Bioinformatics, Python Library",,,,Anvil: https://www.rcac.purdue.edu/software/metaseq,Anvil: 0.5.6,"metaseq is a Python library for analyzing RNA-Seq data and differential expression analysis. It provides tools for visualizing gene expression results, exploring gene ontology, clustering samples, and identifying enriched pathways.",
methyldackel,Anvil,Data Analysis Tool,Bioinformatics,Biological Sciences,Epigenetics,Genetics,Methyldackel is a (mostly) universal methylation extractor for BS-seq experiments.,"1. Extracts methylation information from bisulfite sequencing data.
2. Identifies methylated and unmethylated cytosines at single-base resolution.
3. Supports analysis of DNA methylation patterns.","DNA Methylation, Bisulfite Sequencing, Epigenetics",,,,Anvil: https://www.rcac.purdue.edu/software/methyldackel,Anvil: 0.6.1,MethylDackel is a program for extracting methylation information from bisulfite sequencing data. It identifies methylated and unmethylated cytosines at single-base resolution.,
methylpy,Bridges-2,Python Library,Analysis Tool,Biological Sciences,Epigenomics,Genetics,"Methylpy is a pyhton-based analysis pipeline for (single-cell) (whole-genome) bisulfite sequencing data, (single-cell) NOMe-seq data, and differential methylation analysis. 
Description Source: https://pypi.org/project/methylpy/","Preprocessing Of Bisulfite Sequencing Data, Identification Of Differentially Methylated Regions (Dmrs), Annotation Of Dmrs With Genomic Features, Visualization Of Methylation Patterns","DNA Methylation, Bisulfite Sequencing, Epigenetics, Bioinformatics, Python Package",https://pypi.org/project/methylpy/,https://github.com/yupenghe/methylpy/tree/methylpy/docs,https://github.com/yupenghe/methylpy/blob/methylpy/tutorial/tutorial.md,Bridges-2: https://www.psc.edu/resources/software/methylpy,Bridges-2: 1.4.3,"methylpy is a Python package designed for the analysis of DNA methylation data obtained from bisulfite sequencing. It provides various tools for processing, analyzing, visualizing, and interpreting DNA methylation data.",
metilene,Anvil,Bioinformatics Tool,Analysis Tool,Biological Sciences,Epigenetics,Genetics,"Metilene is a versatile tool to study the effect of epigenetic modifications in differentiation/development, tumorigenesis, and systems biology on a global, genome-wide level.","1. Identification of differentially methylated regions (DMRs) based on whole-genome bisulfite sequencing data. 
2. Detection of statistically significant changes in DNA methylation patterns between samples. 
3. Visualization of methylation levels and differential methylation patterns. 
4. Integration of genomic annotation data to provide biological context for identified DMRs.","Bioinformatics, Epigenetics, DNA Methylation, Genomics, Bisulfite Sequencing",,,,Anvil: https://www.rcac.purdue.edu/software/metilene,Anvil: 0.2.8,"Metilene is a software tool for the analysis of whole-genome bisulfite sequencing data, primarily focusing on the identification of differentially methylated regions (DMRs) between biological samples.",
metis,"Aces, Delta, Expanse, Faster, Stampede3",Tool,Library,Computer & Information Sciences,,,"METIS is a set of serial programs for partitioning graphs, partitioning finite element meshes, and producing fill reducing orderings for sparse matrices. The algorithms implemented in METIS are based on the multilevel recursive-bisection, multilevel k-way, and multi-constraint partitioning schemes developed in our lab. 
Description Source: https://github.com/KarypisLab/METIS","1. Graph and mesh partitioning algorithms
2. Hypergraph partitioning capabilities
3. Minimization of edge-cuts for balanced partition sizes
4. Efficient partitioning of large-scale graphs and meshes","Computational Software, Graph Partitioning, Mesh Partitioning, Hypergraph Partitioning",https://github.com/KarypisLab/METIS,https://github.com/KarypisLab/METIS/blob/master/manual/manual.pdf,"https://www.niu.edu/crcd/current-users/getting-started/build-run-example.shtml 
https://github.com/KarypisLab/METIS/blob/master/test/mtest.c ","Aces: https://hprc.tamu.edu/software/aces/ 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 5.1.0
Delta: 5.1.0
Expanse: Apmmdbv, Hdhfvwi, ...
Faster: 5.1.0","Metis is a computational software library for partitioning graphs, meshes, and hypergraphs. It provides algorithms that can efficiently partition large graphs and meshes while minimizing the edge-cuts and balancing the partition sizes.",
mfem,"Aces, Faster",Library,Computational Software,Engineering & Technology,,,MFEM is a modular parallel C++ library for finite element methods. MFEM can be viewed as a finite element toolbox that provides the building blocks for developing finite element algorithms in a manner similar to that of MATLAB for linear algebra methods.,"1. Wide range of finite element spaces
2. High-order and variable-order discretizations
3. Parallel computing support
4. Many examples and applications","Finite Element Method, C++ Library, Parallel Computing",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 70941B4
Faster: 4.6, 70941B4","MFEM is a lightweight, general, scalable C++ library for finite element methods. Its features include a wide range of finite element spaces, high-order and variable-order discretizations, parallel computing support, and multiple examples and applications.",
