Software,AI Description,Core Features,General Tags,Software Type,Software Class,Research Field,Research Area,Research Discipline
numactl,Numactl is a set of tools that allows you to have more control over NUMA (Non-Uniform Memory Access) systems. It provides utilities for memory placement and migration of processes and controlling the NUMA policy of a process.,"The core features of numactl include setting the NUMA policy for a process, controlling memory placement and binding of processes to specific NUMA nodes, providing NUMA affinity control to specific CPUs, and migrating processes between NUMA nodes.","Numa, Memory Management, Performance Optimization",Tool,System Utility,Engineering & Technology,Infrastructure & Instrumentation,Other Computer & Information Sciences
numba,Numba is an open-source just-in-time (JIT) compiler that translates a subset of Python and NumPy code into fast machine code.,1. Just-in-time (JIT) compilation for improving the performance of Python and NumPy code. 2. Support for parallel computing with multi-threading. 3. Seamless integration with NumPy arrays and functions. 4. Easy to use and efficient optimization techniques like loop unrolling and vectorization.,"Jit Compiler, Python Optimization, Numpy Optimization",Open-Source,Compiler,Computer & Information Sciences,,
numexpr,"Numexpr is a fast numerical expression evaluator for NumPy. With it, expressions that operate on arrays (like '3*a+4*b') are accelerated and use less memory than doing the same calculation in Python. In addition, its multi-threaded capabilities can make use of all your cores in a CPU.","Accelerated Numerical Expression Evaluation For Numpy Arrays, Optimized For Performance & Memory Usage, Multi-Threaded Capabilities For Improved Speed Using Multiple Cpu Cores","Numerical Computation, Numerical Expressions, Array Operations, Performance Optimization, Multi-Threading",Numerical Computation,Library,Computer & Information Sciences,,
numpy,"NumPy is a fundamental package for scientific computing with Python. It contains functionality for multidimensional arrays, high-level mathematical functions such as linear algebra operations, Fourier transformations, and random number generation. NumPy can be utilized to solve linear algebraic equations, perform statistical analysis, create software simulations, and much more.","Multidimensional Array Operations, Mathematical Functions, Linear Algebra Operations, Random Number Generation, Statistical Analysis","Scientific Computing, Numerical Computing, Data Analysis, Mathematics",Computational Software,Library,"Computer & Information Sciences, Mathematics",,
nv-codec-headers,"NVIDIA Video Codec SDK includes software development kits, samples, and documentation for encoding, decoding, and transcoding video and audio content. It provides low-level APIs for enabling applications to utilize NVIDIA GPU hardware accelerated video processing capabilities.","Support For Nvidia Gpu Accelerated Video Encoding & Decoding, Integration With Nvidia Video Codec Sdk, Access To Low-Level Apis For Efficient Video Processing Operations, Samples & Documentation For Developers","Video Processing, Gpu Acceleration, Software Development Kit, Video Codec, Nvidia",Library,Development Tools,Computer & Information Sciences,,
nvbio,"nvbio is a GPU-accelerated library of high-performance bioinformatics algorithms designed to leverage the parallel processing power of NVIDIA GPUs. It offers various tools for DNA sequence analysis and manipulation, allowing for faster and more efficient processing of large-scale genomic data.","Gpu-Accelerated Bioinformatics Algorithms, High-Performance DNA Sequence Analysis, Parallel Processing With Nvidia Gpus, Support For Large-Scale Genomic Data, Efficient Manipulation Of DNA Sequences","Bioinformatics, Gpu Acceleration, Genomic Data Processing, DNA Sequence Analysis",Library,Bioinformatics,Biological Sciences,,
nvcomp,nvcomp is a CUDA library providing GPU-accelerated compression and decompression algorithms. It aims to provide fast and efficient data compression techniques for GPU computing.,"1. GPU-accelerated compression and decompression algorithms.
2. Support for multiple compression formats such as LZ4, Zstandard, and Snappy.
3. Optimized for NVIDIA GPUs to leverage parallel processing power.
4. High performance and low latency compression and decompression.","Compression, Gpu-Accelerated, Cuda, Data Processing",Compression,Library,Computer & Information Sciences,Applied Computer Science,Computer Science
nvhpc,"NVIDIA HPC SDK is a comprehensive, integrated suite of compilers, libraries, and tools for the development and optimization of GPU-accelerated high-performance computing (HPC) applications.","NVHPC includes a suite of compilers such as NVIDIA HPC compilers and NVIDIA CUDA compilers, libraries including NVIDIA cuBLAS, cuFFT, cuDNN, cuSOLVER, CUDA Toolkit, and tools like NVIDIA Nsight Systems and NVIDIA Visual Profiler.","Hpc, Gpu Acceleration, Compilers, Libraries, Development Tools",Development Tool,Compiler,Computer & Information Sciences,Applied Computer Science,Computer Science
nvhpc_latest,"NVIDIA HPC SDK is a comprehensive suite of compilers, libraries, and tools for accelerating HPC applications on GPU-accelerated systems.","The NVIDIA HPC SDK includes optimizing Fortran, C, and C++ compilers, math libraries, and software development tools to help developers maximize application performance.","Hpc, Compiler, Math Library, Software Development",Tool,Compiler,Engineering & Technology,,
nvidia,"NVIDIA Corporation is an American technology company that designs graphics processing units (GPUs) for the gaming, cryptocurrency, and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.","1. Design of GPUs for gaming, cryptocurrency, and professional markets.
2. Creation of SoCs for mobile computing and automotive markets.
3. Development of high-performance computing solutions.
4. Provision of software solutions for AI, deep learning, and data analytics.","Graphics Processing Units, High-Performance Computing, Deep Learning, Data Analytics",Graphics Processing Units,Hardware,Computer & Information Sciences,,
nvidia hpc sdk,"NVIDIA HPC SDK is a comprehensive suite of compilers, libraries, and tools for high-performance computing (HPC) and scientific computing applications. It is designed to optimize performance on NVIDIA GPUs and multi-core CPUs.","Includes NVIDIA-compilers for CUDA C/C++, Fortran, and Python, along with libraries such as cuBLAS, cuFFT, cuSPARSE, and cuDNN. Provides tools for profiling, debugging, and optimizing HPC applications. Supports integration with popular HPC frameworks and workflows.","Hpc, High Performance Computing, Scientific Computing, Gpu Computing",Tool,Compiler,Engineering & Technology,Performance Evaluation & Benchmarking,Other
nvidia-container-cli,NVIDIA Container CLI is a command-line tool provided by NVIDIA that enables users to manage and interact with NVIDIA container runtimes. It allows for the configuration of various NVIDIA GPU-related settings within container environments.,"1. Manage NVIDIA container runtimes
2. Configure NVIDIA GPU settings within containers
3. Interact with NVIDIA container environments through a command-line interface
4. Facilitates the usage of NVIDIA GPUs for accelerated computing tasks in containers","Container Runtime Management, Gpu Settings Configuration, Command-Line Interface, Accelerated Computing",Command-Line Tool,Tools & Utilities,Engineering & Technology,"Software Engineering, Systems, & Development",Computer Science
nvshmem,"nvshmem is a GPU-accelerated implementation of the OpenSHMEM standard designed for NVIDIA GPUs. It provides a high-performance, parallel programming model for developing applications on GPU clusters.","1. GPU-accelerated implementation of the OpenSHMEM standard.
2. High-performance parallel programming model.
3. Enables development of applications on GPU clusters.
4. Supports asynchronous communication and shared memory operations.","Gpu-Accelerated, Openshmem, Nvidia Gpus",Library,Parallel Computing,"Computer & Information Sciences, Other Computer & Information Sciences",,
nvtop,"nvtop is an NVIDIA GPU system monitoring tool with a user-friendly CLI interface. It provides real-time monitoring of GPU utilization, memory usage, temperature, power consumption, and other important metrics.","Real-Time Monitoring Of Nvidia Gpu Metrics, User-Friendly Command-Line Interface (Cli), Display Of Gpu Utilization, Memory Usage, Temperature, Power Consumption, & More, Support For Multiple Gpus On A Single System, Color-Coded Display For Easy Visualization Of Gpu Performance","System Monitoring, Gpu Monitoring, Nvidia Gpu, Command-Line Interface, Performance Optimization",Utility,Monitoring & Analysis Tools,Computer & Information Sciences,,
nwchem,NWChem is an open-source computational chemistry package designed for high-performance simulations of large-scale molecular systems. It provides various tools and algorithms for both classical and quantum chemical calculations.,"Quantum Chemical Calculations, Classical Molecular Dynamics Simulations, Electronic Structure Calculations, Ab Initio Molecular Simulations, Density Functional Theory Calculations","Computational Chemistry, High-Performance Computing, Open-Source Software",Computational Chemistry Software,Simulation,Chemical Sciences,Chemical Sciences,Physical Chemistry
obitools3,"Obitools3 is a comprehensive package for analyzing and processing metagenomic data. It includes a variety of tools for quality control, taxonomic assignment, and diversity analysis of DNA sequences obtained from environmental samples.","Quality Control Of Metagenomic Data, Taxonomic Assignment Of DNA Sequences, Diversity Analysis Of Environmental Samples, Support For Handling Large-Scale Datasets","Metagenomics, Bioinformatics, Microbiome Analysis, High-Throughput Sequencing",Bioinformatics Software,Analysis Tool,Biological Sciences,Bioinformatics,Biological Sciences
oclfpga,oclfpga is an OpenCL framework for FPGA acceleration. It allows users to utilize the power of Field-Programmable Gate Arrays (FPGAs) for accelerating applications through OpenCL programming.,"Opencl Framework For Fpga Acceleration, Utilizes The Power Of Field-Programmable Gate Arrays (Fpgas), Accelerates Applications Through Opencl Programming","Opencl, Fpga, Acceleration",Framework,Computational Tool,Engineering & Technology,,
octave,"Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and has extensive graphics capabilities for data visualization and manipulation.","High-Level Language For Numerical Computations, Linear & Nonlinear Problem Solving Capabilities, Extensive Graphics Capabilities For Data Visualization, Large Library Of Functions For Numerical Computations","Numerical Computations, Data Visualization",Numerical Computation Software,Scientific Computing Software,Computer & Information Sciences,,
odgi,odgi is a succinct graphical representation of variation graphs. It provides methods for dynamic histogram-based organization and interactive visualization of large-scale structural variant graphs.,"Efficient Graphical Representation Of Variation Graphs, Dynamic Histogram-Based Organization, Interactive Visualization Of Large-Scale Structural Variant Graphs","Graph Visualization, Structural Variation Analysis, Genomics",Bioinformatics,Analysis Tool,Biological Sciences,,
ogdf,OGDF (Open Graph Drawing Framework) is a C++ library for the automatic layout of diagrams and graphs. It provides a wide range of algorithms and data structures for various graph drawing tasks.,"Automatic Layout Of Diagrams & Graphs, Support For Various Graph Drawing Tasks, Implementation Of A Wide Range Of Algorithms & Data Structures","Graph Drawing, Layout Algorithms, C++ Library",Graph Visualization,Library,Computer & Information Sciences,Graph Drawing,Computer Science
ohpc,"OpenHPC is a collaborative, community-driven effort to provide a comprehensive and cohesive open-source HPC stack to the community. Through close collaboration with key stakeholders across the industry, OpenHPC aims to provide a reference collection of open-source HPC software components and best practices to enable the development, testing, and deployment of HPC systems. Ultimately, building on the resecarch outputs from various related fields.","Comprehensive Collection Of Open-Source Hpc Software Components, Best Practices For Hpc System Development, Testing, & Deployment, Community-Driven Effort, Collaboration With Key Stakeholders In The Industry","Hpc, High Performance Computing, Open-Source, Collaborative, Community-Driven",Computational Software,"Development Tools, Infrastructure & Instrumentation",Engineering & Technology,,
oneapi,"OneAPI is a unified programming model that aims to simplify development across diverse architectures such as CPUs, GPUs, FPGAs, and other accelerators. It provides a single programming interface for developers to efficiently target and deploy applications in heterogeneous computing environments.","Unified Programming Model For Heterogeneous Computing, Support For Cpus, Gpus, Fpgas, & Accelerators, Optimized Performance & Productivity, Cross-Architecture Development & Deployment","Heterogeneous Computing, Unified Programming Model, Accelerated Computing, Performance Optimization",Unified Programming Model,Development Tools,Computer & Information Sciences,,
onnx,"ONNX (Open Neural Network Exchange) is an open-source format for AI models. It enables interoperability between different frameworks, making it easier to move models between various tools and platforms.","1. Model Interoperability: ONNX allows AI models to be exchanged between different frameworks such as PyTorch, TensorFlow, Scikit-learn, and more. 2. Efficient Inference: ONNX provides optimized runtimes for deploying models on various hardware platforms. 3. Extensible Ecosystem: The ONNX community continuously develops new tools and libraries that support the format. 4. Model Versioning: ONNX supports different versions of the model, making it easier to maintain and update models.","Ai, Machine Learning, Deep Learning",Interoperability Format,Framework,Computer & Information Sciences,Machine Learning,Artificial Intelligence & Intelligent Systems
onnx runtime,ONNX Runtime is a high-performance scoring engine for Open Neural Network Exchange (ONNX) models. It provides an easy and efficient way to deploy and run ONNX models across a variety of hardware platforms and devices.,"Efficient Inference Of Onnx Models, Cross-Platform Support For Windows, Linux, & Macos, Hardware Acceleration With Cuda & Tensorrt Support, Ability To Integrate With Various Programming Languages & Frameworks Like Python, C++, & .Net","Machine Learning, Deep Learning, Model Deployment, Inference Engine",Runtime Engine,Deployment Tool,"Computer & Information Sciences, Artificial Intelligence & Intelligent Systems",,
opari2,OPARI2 (OpenMP Parallelizer and Runtime Instrumentation) is a tool for the parallelization and instrumentation of OpenMP programs. It helps to analyze and optimize the performance of parallel codes that use OpenMP directives.,1. Automatic parallelization of OpenMP codes. 2. Instrumentation for performance analysis. 3. Automatic generation of OpenMP regions. 4. Support for various analysis tools. 5. Integration with compilers and build systems.,"Parallelization, Performance Analysis, Openmp",Compiler/Analyzer,Development Tools,Computer & Information Sciences,,
open babel,"Open Babel is a chemical toolbox designed to speak the many languages of chemical data. It is an open-source, freely available chemical software package designed to handle molecular data. It allows conversion of chemical file formats, visualization of molecular structures, and provides various tools for molecular descriptor calculations and 2D depiction.","Conversion Of Chemical File Formats, Visualization Of Molecular Structures, Molecular Descriptor Calculations, 2D Depiction Of Molecules","Chemical Informatics, Chemical Data Processing, Chemical File Format Conversion, Molecular Visualization",Tool,Molecular Modeling Software,Chemical Sciences,Chemical Sciences,Analytical & Materials Chemistry
open mpi,Open MPI (Message Passing Interface) is an open-source software implementation of the Message Passing Interface standard. It is designed for high-performance computing (HPC) and is used to parallelize and optimize applications across distributed computing systems.,"1. Support for parallel computing across distributed memory systems
2. Scalability for large computing clusters
3. High performance and efficiency in message passing
4. Flexibility in configuration and customization
5. Fault tolerance and resilience in distributed computing environments","Hpc, Parallel Computing, Message Passing Interface",Library,Middleware,,,
open-data-cube-core,"Open Data Cube (ODC) is an open-source software package that helps in the management, analysis, and visualization of large environmental and Earth observation data sets. ODC Core provides the foundational components and functionalities for working with satellite and Earth observation data.","Data Ingestion & Storage, Data Indexing & Querying, Data Processing & Analysis, Data Visualization, Integration With Python Ecosystem","Earth Observation, Data Management, Data Analysis, Data Visualization, Open Source",Software Library,Data Management/Analysis,Earth & Environmental Sciences,,
openacc,OpenACC is a directive-based programming model designed to simplify parallel programming of heterogeneous CPU/GPU systems. It allows developers to accelerate applications through directives without the need for low-level programming of accelerators.,"Directive-Based Programming Model, Heterogeneous Cpu/Gpu Systems Support, Accelerates Applications Without Low-Level Programming Of Accelerators, Portable Across Different Platforms & Compilers","Parallel Programming, Heterogeneous Systems, Accelerated Computing",Compiler/Tool,Programming Model,Computer & Information Sciences,,
openai gym,"OpenAI Gym is a toolkit for developing and comparing reinforcement learning algorithms. It provides a diverse set of environments for training and testing RL agents, along with a simple interface for interacting with these environments.","Diverse Collection Of Environments (From Classic Gridworlds To Atari Games), Simple & Consistent Api For Interacting With Environments, Support For Various Rl Algorithms & Techniques, Easy To Use & Integrate With Different Frameworks, Extensive Documentation & Community Support","Reinforcement Learning, Toolkit, Deep Learning",Toolkit,Open Source,"Computer & Information Sciences, Applied Computer Science",Reinforcement Learning,Artificial Intelligence & Intelligent Systems
openblas,OpenBLAS is an open-source implementation of the Basic Linear Algebra Subprograms (BLAS) library with optimized functions for matrix operations and linear algebra computations. It provides fast and efficient routines for common linear algebra operations.,"Optimized Blas Functions, Support For Various Mathematical Operations On Matrices, High Performance & Efficiency, Multi-Threading Support For Parallel Processing","Linear Algebra, Blas Library, Optimized Functions, Open Source",,,Computer & Information Sciences,,
opencensus-python,OpenCensus is a set of libraries for various programming languages that helps developers collect performance and tracing data from their applications. The opencensus-python library specifically provides support for Python applications to enable monitoring and distributed tracing.,"Distributed Tracing, Metrics Collection, Performance Monitoring, Integration With Various Backends & Frameworks","Monitoring, Distributed Tracing, Performance, Python",Application Development,Library,Computer & Information Sciences,,
opencv,"OpenCV (Open Source Computer Vision Library) is an open-source computer vision and machine learning software library. It provides a wide range of functionalities for real-time computer vision, including image processing, object detection, object tracking, and machine learning algorithms.","Image Processing, Object Detection, Object Tracking, Machine Learning Algorithms","Computer Vision, Image Processing, Machine Learning, Open Source",Computer Vision Library,Library,Computer & Information Sciences,Computer Vision,Computer Science
openexr,OpenEXR is a high dynamic-range (HDR) image file format developed by Industrial Light & Magic (ILM) for use in computer imaging applications. It is used for the interchange of high-fidelity image data between different software applications.,"1. Supports high dynamic-range and floating-point pixel data
2. Can store multiple images, layers, and auxiliary channels
3. Lossless compression algorithms
4. Extensible metadata capabilities
5. Cross-platform and open-source","Image, File Format, High Dynamic-Range, Hdr, Image Data",File Format,Image Processing,Engineering & Technology,,
openfoam,"OpenFOAM (Open Source Field Operation and Manipulation) is a free, open-source computational fluid dynamics (CFD) software package developed by the OpenFOAM Foundation. It is widely used for simulating complex fluid flows in various industries and academic research.","1. Finite volume discretization for solving fluid flow problems
2. Ability to solve a wide range of physical problems including incompressible and compressible flows, heat transfer, turbulence modeling, and multiphase flows
3. Extensive library of pre-built solvers and utilities
4. Customizability through programming interface and source code access
5. Parallel processing capabilities for high-performance computing (HPC)","Computational Fluid Dynamics, Open-Source Software, Finite Volume Method, Hpc",Computational Software,Simulation Software,Physical Sciences,Computational Fluid Dynamics,Fluid Dynamics
openfold,openfold is a computational software tool designed for protein folding simulations and structural analysis. It allows researchers to study the folding pathways of proteins and investigate their three-dimensional structures.,"Some core features of openfold include molecular dynamics simulations, energy minimization algorithms, force field calculations, and visualization tools for protein structures. It also provides functionalities for analyzing protein folding kinetics and stability.","Computational Software, Molecular Dynamics Simulations, Protein Folding, Structural Analysis",Bioinformatics,Simulation Software,Biological Sciences,Protein Folding,Biophysics
openimageio,"OpenImageIO is a library for reading and writing images, and a bunch of related functionality, like dealing with image formats and color management.","Support For A Wide Range Of Image Formats, Efficient Image Reading & Writing Capabilities, Color Management Functionalities, Image Processing & Manipulation Tools, Cross-Platform Compatibility","Image Processing, Color Management, Library, Image Formats, Cross-Platform",Computational Software,Library,Computer & Information Sciences,,
openjdk,"OpenJDK (Open Java Development Kit) is a free and open-source implementation of the Java Platform, Standard Edition (Java SE). It is developed under the OpenJDK project as a collaboration between several companies and the open-source community.","Free & Open-Source Implementation Of Java Se, Support For Java Applications Development, Regular Updates & Bug Fixes, Compatibility With Various Operating Systems","Open-Source, Java Development, Software Development, Programming",Compiler,Development Environment,Computer & Information Sciences,,
openjpeg,OpenJPEG is an open-source JPEG 2000 codec written in C language. It aims to provide an open-source toolkit for JPEG 2000 encoding and decoding. OpenJPEG is free software licensed under the BSD-2-Clause.,"Supports Encoding & Decoding Of Jpeg 2000 Images, High-Performance Codec With Efficient Memory Usage, Compliant With Part 1 Of The Jpeg 2000 Standard (Itu-T T.800 | Iso/Iec 15444-1)","Jpeg 2000 Codec, Image Processing Software, Open-Source Software",Codec,Library,Computer & Information Sciences,,
openldap,"OpenLDAP is an open-source implementation of the Lightweight Directory Access Protocol (LDAP) that provides a platform-independent, stable, and high-performance LDAP server suite. It is designed to provide robust, scalable, and secure directory services for managing user authentication, access control, and directory information.","Ldap Server Implementation, Secure Authentication & Access Control, Scalable Directory Services, Cross-Platform Support, High-Performance, Open-Source","Ldap, Directory Services, Authentication, Access Control, Open Source",System Software,Infrastructure & Instrumentation,Computer & Information Sciences,,
openmm,"OpenMM is a widely-used open-source toolkit for molecular dynamics simulation. It provides a high-performance, flexible, and easy-to-use platform for the development of computationally intensive simulations of biomolecular systems.","Efficient Implementation Of Molecular Dynamics Algorithms, Support For Cuda & Opencl For Gpu Acceleration, Python & C++ Apis For Easy Integration & Extensibility, Extensive Support For Various Force Fields & Integrators, Integration With Popular Simulation & Visualization Tools","Molecular Dynamics, Biomolecular Simulations, Computational Chemistry, Biophysics, Gpu Acceleration",Molecular Dynamics Software,Simulation Tool,Biological Sciences,Structural Biology,Bioinformatics
openmpi,OpenMPI is an open-source Message Passing Interface (MPI) library that allows parallel computing on a distributed memory system. It enables high performance computing (HPC) by facilitating communication and coordination between processes running on multiple nodes.,"1. Support for parallel computing using the MPI standard.
2. Scalability and performance optimization for HPC applications.
3. Fault tolerance and resilience features for handling node failures.
4. Interoperability with different programming languages like C, C++, and Fortran.
5. Dynamic process management and load balancing capabilities.","Mpi Library, Parallel Computing, High Performance Computing, Distributed Memory System",Development Tools,Library,Computer & Information Sciences,"Software Engineering, Systems, & Development",Computer Science
openmpi + cuda,"OpenMPI is an open-source Message Passing Interface (MPI) library that allows for parallel computing on a distributed memory system. CUDA (Compute Unified Device Architecture) is a parallel computing platform and programming model developed by NVIDIA for their GPUs. When used together, OpenMPI and CUDA enable high-performance parallel computing on GPU-accelerated clusters.","Message Passing Interface (Mpi) For Distributed Memory Systems, Parallel Computing On Gpu-Accelerated Clusters, Integration Of Cuda For Gpu Programming, Support For High-Performance & Scalable Computing","Parallel Computing, Distributed Computing, Gpu Acceleration, High-Performance Computing",Library,Hpc Tool,Other Natural Sciences,,
openmpi 4,"OpenMPI 4 is an open-source Message Passing Interface (MPI) library that enables parallel computing on a wide range of architectures. It supports programming in C, C++, and Fortran and allows users to develop scalable and efficient parallel applications.","Support For Mpi-1, Mpi-2, & Mpi-3 Standards, Dynamic Process Management, Interoperability With Various Programming Languages, High-Performance On Clusters & Supercomputers, Scalable For Large-Scale Parallel Computing","Parallel Computing, Message Passing Interface, High-Performance Computing, Scalable Computing",Parallel Computing Library,Compiler/Runtime Library,Computer & Information Sciences,,
openmx,"OpenMX is a software package for nano-scale material simulations based on density functional theories, norm-conserving pseudopotentials, and pseudo-atomic localized basis functions.","Key features of OpenMX include electronic structure calculations, molecular dynamics simulations, and optimization algorithms for nano-scale materials. It can handle various materials including molecules, surfaces, and nanoscale structures.","Computational Chemistry, Materials Science",Quantum Chemistry Software,Simulation Software,Chemical Sciences,Materials Chemistry,Physical Chemistry
openpgm,OpenPGM is an open-source implementation of the Pragmatic General Multicast (PGM) protocol for reliable and scalable multicast communication. It offers high performance and reliability for applications requiring multicast messaging.,"Open-Source Implementation Of The Pgm Protocol, High Performance, Reliable & Scalable Multicast Communication","Multicast Communication, Network Protocols, Open Source Software",Networking,,Computer & Information Sciences,,
openpmix,"OpenPMIX is an open-source package specifically designed for multi-party computation (MPC) applications, providing efficient and secure protocols for combining data from multiple parties without revealing individual inputs. It supports a range of MPC protocols and functionalities for privacy-preserving computations.","Supports various MPC protocols, efficient and secure data combination, privacy-preserving computations, open-source and customizable for different applications.","Mpc, Privacy-Preserving Computations, Data Security, Open-Source",Library/Toolkit,Privacy-Preserving Computation Framework,Computer & Information Sciences,,
openscenegraph,"OpenSceneGraph (OSG) is an open-source high-performance 3D graphics toolkit that is widely used in the fields of virtual reality, simulation, visualization, and gaming. It provides a powerful scene graph API for rapid development of interactive 3D graphics applications.","Cross-Platform Support For Windows, Macos, & Linux, Support For Shaders, Textures, Lighting, & Effects, Integration With Other Libraries Like Opengl, Openal, & Qt, Various File Format Support Including Obj, Osg, Fbx, & Collada, Extensive Documentation & Community Support","3D Graphics, Virtual Reality, Simulation, Visualization, Gaming",Library,Graphics Toolkit,Engineering & Technology,,
opensees,"OpenSees is an open-source software framework developed for simulating the seismic response of structural and geotechnical systems. It is widely used in civil engineering for earthquake engineering research, structural analysis, and performance-based design.","1. Finite element analysis of structural and geotechnical systems
2. Advanced material models for concrete, steel, soil, and other materials
3. Real-time simulation and hybrid simulation capabilities
4. Parallel processing for efficient analysis of large-scale models
5. Extensive library of pre-built examples and documentation","Simulation, Finite Element Analysis, Earthquake Engineering, Structural Analysis, Geotechnical Engineering",Finite Element Analysis (Fea),Simulation Software,Engineering & Technology,"Seismic Response, Structural Analysis",Civil Engineering
openshmemx,"OpenSHMEMX is a portable implementation of the OpenSHMEM API designed to provide a high-performance, flexible, and scalable parallel programming model for symmetric multiprocessing (SMP) and massively parallel processing systems. It extends the original OpenSHMEM and aims to simplify the development of parallel applications.","1. Enhanced support for symmetrical multiprocessing (SMP) systems.
2. Provides a set of standard symmetric memory operations that enable efficient remote memory access.
3. Supports various symmetric memory regions and communication capabilities.
4. Offers flexible programming interface and communication synchronization mechanisms.
5. Compatible with widely-used programming languages and compilers.","Parallel Programming, High-Performance Computing, Distributed Memory Programming",Parallel Programming Library,Library,Computer & Information Sciences,Parallel & Distributed Computing,Computer Science
openssh,"OpenSSH is a suite of secure networking utilities based on the SSH protocol, providing encrypted communication sessions over a computer network using the SSH protocol. It offers secure remote login, secure file transfer, and public key authentication functionalities.","Secure Remote Login, Secure File Transfer, Public Key Authentication","Ssh, Secure Networking, Utilities",Utility,Networking & Security,Computer & Information Sciences,,
openssl,"OpenSSL is a robust, commercial-grade, and full-featured toolkit for the Transport Layer Security (TLS) and Secure Sockets Layer (SSL) protocols. It is also a general-purpose cryptography library.","Implementation Of Ssl & Tls Protocols, Support For A Wide Range Of Cryptographic Algorithms, Secure Cryptographic Libraries, Large Variety Of Functions For Secure Communication","Cryptography, Security, Encryption, Networking",,,"Computer & Information Sciences, Other Computer & Information Sciences",,
opensubdiv,"OpenSubdiv is an open-source library that provides high-performance subdivision surface evaluation on massively parallel hardware. It generates high-quality surfaces, enabling detailed and complex geometry to be efficiently rendered and animated.","1. High-performance subdivision surface evaluation
2. Support for complex and detailed geometry
3. Open-source and actively maintained
4. Efficient rendering and animation capabilities","Subdivision Surface, Rendering, Animation",Graphics,Library,Computer & Information Sciences,,
opensycl,"openSYCL is an open-source implementation of the SYCL standard, which is a higher-level programming model for developing C++ applications on heterogeneous systems with various accelerators such as GPUs, FPGAs, and other specialized processing units. It enables developers to write single-source C++ code that can target a variety of hardware accelerators without the need for low-level programming.","1. Compatibility with heterogeneous systems
2. Simplified parallel programming with C++
3. Targeting GPUs, FPGAs, and other accelerators
4. Open-source implementation
5. Enables single-source C++ programming for various devices","Programming Model, Heterogeneous Systems, Accelerators",Compiler,Programming Tool,Computer & Information Sciences,High-Performance Computing,Computer Science
operating system,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. The operating system acts as an intermediary between computer hardware and user applications, making it possible for the operating system to execute tasks such as file management, memory management, process management, handling input and output, and controlling peripheral devices.","Process Management, Memory Management, File Management, Device Management, Security Management, User Interface","Os, System Software, Computer Science, Computer & Information Sciences",Operating System,System Software,Computer & Information Sciences,,
optix,OptiX is a GPU-accelerated ray tracing engine from NVIDIA that provides a programmable ray tracing pipeline for developers to build high-performance ray tracing applications.,"1. Real-time ray tracing: OptiX enables real-time ray tracing by leveraging the power of NVIDIA GPUs.
2. Programmable pipeline: Developers can create custom ray tracing applications with a programmable pipeline using CUDA.
3. Scalability: OptiX is designed for scalability, allowing developers to efficiently utilize multiple GPU cores for parallel processing.
4. Ray tracing effects: Supports advanced ray tracing effects such as shadows, reflections, refractions, and global illumination.","Ray Tracing, Gpu-Accelerated, Real-Time Rendering",Gpu Software,Rendering Engine,Computer & Information Sciences,Graphics & Visualization,Computer Science
optuna,Optuna is an open-source hyperparameter optimization framework to automate hyperparameter search with a variety of flexible and powerful features for machine learning model training.,"Automated Hyperparameter Optimization, Distributed Optimization, Support For Multiple Machine Learning Frameworks (E.G., Pytorch, Tensorflow, Scikit-Learn), Integration With Jupyter Notebooks, Visualization Of Optimization Results, Pruning Of Unpromising Trials","Machine Learning, Hyperparameter Optimization, Automated Machine Learning, Optimization Framework",Library,Optimization,Computer & Information Sciences,,
orca,"Orca is a flexible, efficient, and powerful quantum chemistry software written by Frank Neese and co-workers. It provides accurate and reliable computational simulations of molecular structures and properties based on quantum mechanical methods.","Orca offers a wide range of quantum chemical methods, including Density Functional Theory (DFT), ab initio Hartree-Fock, and many post-Hartree-Fock methods. It can perform geometry optimizations, transition state searches, and molecular dynamics simulations. Orca also supports a variety of spectroscopic properties calculations, such as NMR chemical shifts, electronic circular dichroism (ECD) spectra, and UV/Vis spectra.","Quantum Chemistry, Computational Chemistry, Quantum Mechanics",Quantum Chemistry Software,Molecular Simulation Software,Chemical Sciences,"Theoretical Chemistry, Computational Chemistry",Physical Chemistry
orthofinder,OrthoFinder is a fast and accurate tool for phylogenomic orthology and gene set inference.,"1. Phylogenomic orthology inference
2. Gene set inference
3. Fast and accurate results
4. User-friendly interface","Bioinformatics, Phylogenomics, Orthology, Gene Set Inference",Genome Analysis Software,Bioinformatics Tool,Biological Sciences,"Computational Biology, Evolutionary Biology",
osi,OSI (Open System Interconnection) is a conceptual framework that standardizes the functions of a telecommunication or computing system into seven abstraction layers. It facilitates communication between different systems by defining a set of protocols to be used at each layer.,"Standardizes Communication Functions In Telecommunication Or Computing Systems, Defines Seven Abstraction Layers For Communication Protocols, Facilitates Interoperability Between Different Systems, Establishes A Clear Structure For Network Communication","Networking, Communication, Protocol, Standardization",Networking Software,Software Type,Computer & Information Sciences,"Software Engineering, Systems, & Development",Computer Science
